title,MAL_id,type,studio,release-season,release-year,release-date,source-material,episodes,score,members
Itsudatte Bokura no Koi wa 10 cm Datta.,36220,TV (New),Lay-duce,fall,2017.0,2017-11-25 00:00:00,Music,6.0,7.49,181626.0
Osake wa Fuufu ni Natte kara,35484,TV (New),Creators in Pack,fall,2017.0,2017-10-04 01:00:00,Web manga,13.0,6.96,174084.0
Kino no Tabi: The Beautiful World - The Animated Series,35079,TV (New),Lerche,fall,2017.0,2017-10-06 22:00:00,Light novel,12.0,7.6,168113.0
UQ Holder!: Mahou Sensei Negima! 2,33478,TV (New),J.C.Staff,fall,2017.0,2017-10-03 00:00:00,Manga,12.0,6.96,167175.0
Gintama.: Porori-hen,35843,TV (New),Bandai Namco Pictures,fall,2017.0,2017-10-02 01:35:00,Manga,13.0,8.53,159719.0
Konohana Kitan,35241,TV (New),Lerche,fall,2017.0,2017-10-04 20:00:00,Manga,12.0,7.52,127051.0
Dies Irae,32271,TV (New),A.C.G.T.,fall,2017.0,2017-10-14 01:05:00,Visual novel,11.0,5.38,123980.0
Love Live! Sunshine!! 2nd Season,34973,TV (New),Sunrise,fall,2017.0,2017-10-07 22:30:00,Other,13.0,7.57,98863.0
Code:Realize - Sousei no Himegimi,31456,TV (New),M.S.C,fall,2017.0,2017-10-07 20:00:00,Visual novel,12.0,6.65,73540.0
Evil or Live,36245,TV (New),Haoliners Animation League,fall,2017.0,2017-10-11 01:41:00,Web manga,12.0,5.8,70673.0
Animegataris,35427,TV (New),WAO World,fall,2017.0,2017-10-08 22:00:00,Original,12.0,6.39,66912.0
Garo: Vanishing Line,36144,TV (New),MAPPA,fall,2017.0,2017-10-07 01:23:00,Original,24.0,7.15,66754.0
Osomatsu-san 2nd Season,35067,TV (New),Studio Pierrot,fall,2017.0,2017-10-03 01:35:00,Manga,25.0,7.6,48559.0
Hoozuki no Reitetsu 2nd Season,35075,TV (New),Studio Deen,fall,2017.0,2017-10-08 01:00:00,Manga,13.0,7.88,40609.0
Sengoku Night Blood,35251,TV (New),Typhoon Graphics,fall,2017.0,2017-10-03 23:00:00,Game,12.0,6.14,38682.0
Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou,34284,TV (New),Studio Gokumi,fall,2017.0,2017-10-07 01:55:00,Light novel,6.0,7.67,37929.0
Yuuki Yuuna wa Yuusha de Aru: Yuusha no Shou,34445,TV (New),Studio Gokumi,fall,2017.0,2017-11-25 01:55:00,Original,6.0,7.66,35085.0
Urahara,35250,TV (New),"EMT Squared, Shirogumi",fall,2017.0,2017-10-04 20:00:00,Web manga,12.0,5.77,32506.0
Two Car,36009,TV (New),SILVER LINK.,fall,2017.0,2017-10-08 00:00:00,Original,12.0,5.64,21094.0
The iDOLM@STER SideM,34915,TV (New),A-1 Pictures,fall,2017.0,2017-10-07 23:30:00,Game,13.0,7.15,19098.0
Tsukipro The Animation,34474,TV (New),PRA,fall,2017.0,2017-10-04 22:30:00,Mixed media,13.0,6.7,15669.0
"Wake Up, Girls! Shin Shou",34522,TV (New),Millepensee,fall,2017.0,2017-10-10 02:05:00,Original,12.0,6.53,11965.0
RoboMasters the Animated Series,34903,TV (New),"DandeLion Animation Studio, Gonzo",fall,2017.0,2017-10-13 22:30:00,Original,6.0,6.39,11793.0
Taishou Mebiusline: Chicchai-san,34411,TV (New),Studio A-CAT,fall,2017.0,2017-10-06 21:54:00,Visual novel,12.0,4.73,11346.0
Dynamic Chord,34771,TV (New),"Pierrot Plus, Studio Pierrot",fall,2017.0,2017-10-06 01:58:00,Visual novel,12.0,4.66,8869.0
Infini-T Force,33027,TV (New),Tatsunoko Production,fall,2017.0,2017-10-03 01:59:00,Original,12.0,6.44,8109.0
Cinderella Girls Gekijou 2nd Season,35883,TV (New),"Gathering, Lesprit",fall,2017.0,2017-10-03 21:55:00,4-koma manga,13.0,6.63,8030.0
ClassicaLoid 2nd Season,35334,TV (New),Sunrise,fall,2017.0,2017-10-07 17:35:00,Original,25.0,6.49,6492.0
Cardfight!! Vanguard G: Z,36022,TV (New),OLM,fall,2017.0,2017-10-08 10:00:00,Card game,24.0,6.51,6424.0
Dia Horizon (Kabu),35999,TV (New),Fanworks,fall,2017.0,2017-10-03 01:00:00,Mixed media,12.0,4.9,4973.0
Ame-iro Cocoa Series: Ame-con!!,35923,TV (New),EMT Squared,fall,2017.0,2017-10-04 22:25:00,Digital manga,12.0,4.74,4837.0
Glamorous Heroes,36288,TV (New),drop,fall,2017.0,2017-10-07 02:10:00,Game,10.0,4.37,4407.0
Love Kome: We Love Rice Nikisaku,35818,TV (New),Encourage Films,fall,2017.0,2017-10-06 02:59:00,Original,12.0,4.84,3776.0
Ku Pao Ying Xiong,36440,TV (New),B.CMAY PICTURES,fall,2017.0,2017-09-02 10:00:00,Game,26.0,5.66,3409.0
Fireball Humorous,36166,TV (New),Jinnis Animation Studios,fall,2017.0,2017-10-06 21:55:00,Original,3.0,5.77,2998.0
Oretacha Youkai Ningen,36135,TV (New),DLE,fall,2017.0,2017-10-04 23:30:00,Original,25.0,0.0,1671.0
Time Bokan: Gyakushuu no San Akunin,35254,TV (New),Tatsunoko Production,fall,2017.0,2017-10-07 17:30:00,Original,24.0,5.94,1652.0
Yodel no Onna,36409,TV (New),DLE,fall,2017.0,2017-09-22 00:00:00,Original,6.0,5.37,1326.0
Pittanko!! Nekozakana,40089,TV (New),          -,fall,2017.0,2017-10-09 00:00:00,-,93.0,0.0,438.0
Aiseki Mogol Girl,36073,TV (New),          -,fall,2017.0,2017-10-03 01:05:00,Other,12.0,0.0,412.0
Sinbi Apateu: Ghost Ball X-ui Tansaeng,40090,TV (New),          -,fall,2017.0,2017-11-09 00:00:00,-,23.0,0.0,296.0
One Piece,21,TV (Continuing),Toei Animation,fall,2017.0,1999-10-20 09:30:00,Manga,0.0,8.62,1737573.0
Boruto: Naruto Next Generations,34566,TV (Continuing),Studio Pierrot,fall,2017.0,2017-04-05 17:30:00,Manga,0.0,5.89,701165.0
Dragon Ball Super,30694,TV (Continuing),Toei Animation,fall,2017.0,2015-07-05 09:00:00,Manga,131.0,7.41,675098.0
Fate/Apocrypha,34662,TV (Continuing),A-1 Pictures,fall,2017.0,2017-07-02 00:00:00,Light novel,25.0,7.18,403720.0
Detective Conan,235,TV (Continuing),TMS Entertainment,fall,2017.0,1996-01-08 18:00:00,Manga,0.0,8.16,293970.0
Ballroom e Youkoso,34636,TV (Continuing),Production I.G,fall,2017.0,2017-07-09 02:08:00,Manga,24.0,8.2,271402.0
Aggressive Retsuko,32977,TV (Continuing),Fanworks,fall,2017.0,2016-04-02 12:00:00,Other,100.0,7.64,91171.0
Crayon Shin-chan,966,TV (Continuing),Shin-Ei Animation,fall,2017.0,1992-04-13 19:30:00,Manga,0.0,7.73,67999.0
Shoukoku no Altair,34547,TV (Continuing),MAPPA,fall,2017.0,2017-07-08 02:25:00,Manga,24.0,7.55,64854.0
Youkai Apartment no Yuuga na Nichijou,35220,TV (Continuing),Shin-Ei Animation,fall,2017.0,2017-07-03 23:00:00,Novel,26.0,7.17,61154.0
Yu☆Gi☆Oh! VRAINS,34866,TV (Continuing),Gallop,fall,2017.0,2017-05-10 18:25:00,Card game,120.0,6.62,38054.0
Mahoujin Guruguru (2017),34745,TV (Continuing),Production I.G,fall,2017.0,2017-07-11 01:35:00,Manga,24.0,7.84,29538.0
Aikatsu Stars!,32717,TV (Continuing),Bandai Namco Pictures,fall,2017.0,2016-04-07 18:25:00,Original,100.0,7.53,16612.0
Monster Hunter Stories: Ride On,31631,TV (Continuing),David Production,fall,2017.0,2016-10-02 08:30:00,Game,75.0,6.26,14146.0
Kirakira☆Precure A La Mode,34290,TV (Continuing),Toei Animation,fall,2017.0,2017-02-05 08:30:00,Original,49.0,6.99,9568.0
Sazae-san,2406,TV (Continuing),Eiken,fall,2017.0,1969-10-05 18:30:00,4-koma manga,0.0,6.13,6708.0
Idol Time PriPara,34787,TV (Continuing),"Dongwoo A&E, Tatsunoko Production",fall,2017.0,2017-04-04 17:55:00,Game,51.0,7.19,5195.0
Future Card Buddyfight Battsu,34836,TV (Continuing),"OLM, Xebec",fall,2017.0,2017-04-01 08:00:00,Card game,52.0,6.44,3337.0
PriPri Chii-chan!!,34799,TV (Continuing),OLM,fall,2017.0,2017-04-15 06:30:00,Manga,36.0,6.32,2915.0
Bonobono (TV 2016),32353,TV (Continuing),Eiken,fall,2017.0,2016-04-02 04:52:00,4-koma manga,0.0,6.37,2564.0
Rilu Rilu Fairilu: Mahou no Kagami,34927,TV (Continuing),Studio Deen,fall,2017.0,2017-04-07 17:55:00,Original,51.0,6.64,1556.0
Neko Konogoro,33398,TV (Continuing),Kachidoki Studio,fall,2017.0,2016-06-08 00:00:00,Manga,0.0,0.0,1118.0
Neko no Robu,35478,TV (Continuing),Kachidoki Studio,fall,2017.0,2017-05-06 06:30:00,Original,0.0,0.0,1099.0
Yasamura Yasashi no Yasashii Sekai,33933,TV (Continuing),DLE,fall,2017.0,2016-09-02 00:00:00,Original,33.0,0.0,1038.0
Shounen Ashibe: Go! Go! Goma-chan 2,34979,TV (Continuing),"Bridge, Husio Studio",fall,2017.0,2017-04-04 00:00:00,4-koma manga,32.0,5.89,951.0
Tomica Hyper Rescue Drive Head: Kidou Kyuukyuu Keisatsu (TV),34741,TV (Continuing),OLM,fall,2017.0,2017-04-15 07:00:00,Other,37.0,6.16,912.0
Kamiusagi Rope: Warau Asa ni wa Fukuraitaru tte Maji ssuka!?,30151,TV (Continuing),          -,fall,2017.0,2012-11-16 06:45:00,Original,0.0,0.0,820.0
Asa Da yo! Kaishain,33044,TV (Continuing),DLE,fall,2017.0,2016-04-04 06:45:00,Original,744.0,0.0,668.0
Shiawase Haitatsu Taneko,10506,TV (Continuing),Kachidoki Studio,fall,2017.0,2011-03-26 00:00:00,Original,0.0,0.0,591.0
Hinomaru!,36231,TV (Continuing),          -,fall,2017.0,2017-07-05 00:00:00,Manga,12.0,0.0,536.0
Neko to Mata,35444,TV (Continuing),          -,fall,2017.0,2017-04-21 01:25:00,Original,67.0,0.0,531.0
Caribadix,35517,TV (Continuing),          -,fall,2017.0,2017-05-07 09:30:00,Original,46.0,0.0,429.0
Yura Yura Suizokukan,35957,TV (Continuing),Kachidoki Studio,fall,2017.0,2017-07-24 00:00:00,Original,40.0,0.0,413.0
Kirin the Noop,35694,TV (Continuing),          -,fall,2017.0,2014-02-06 00:00:00,Original,0.0,0.0,404.0
Akita Kenritsu Iburi Gakkou Chuutou-bu,35226,TV (Continuing),          -,fall,2017.0,2017-03-14 00:00:00,Original,27.0,0.0,386.0
Quiz Tokiko-san,37263,TV (Continuing),          -,fall,2017.0,2017-06-17 00:00:00,Original,40.0,0.0,311.0
Net-juu no Susume,36038,ONA,Signal.MD,fall,2017.0,2017-10-10 00:00:00,Web manga,10.0,7.58,389513.0
Hitori no Shita: The Outcast 2nd Season,35333,ONA,Haoliners Animation League,fall,2017.0,2017-10-27 00:00:00,Web manga,24.0,7.4,58077.0
Aishen Qiaokeli-ing...II,36848,ONA,B.CMAY PICTURES,fall,2017.0,2017-12-21 00:00:00,Web manga,15.0,7.12,27253.0
Hyperventilation,40491,ONA,          -,fall,2017.0,2017-10-11 00:00:00,Original,6.0,7.19,17185.0
Chuunibyou demo Koi ga Shitai! Movie: Take On Me Mini-Drama - Koukai Chokuzen no... Kaiko Gekijou,36855,ONA,Kyoto Animation,fall,2017.0,2017-11-17 00:00:00,-,24.0,6.94,15894.0
Imouto sae Ireba Ii. (ONA),37045,ONA,SILVER LINK.,fall,2017.0,2017-10-08 00:00:00,Light novel,6.0,6.56,11878.0
Road to You,36492,ONA,"Sunrise, The Answer Studio",fall,2017.0,2017-10-11 00:00:00,Original,3.0,6.69,10192.0
Shoujo Shuumatsu Jugyou,36468,ONA,Studio PuYUKAI,fall,2017.0,2017-10-06 00:00:00,Manga,12.0,6.46,9704.0
MahoYome,36502,ONA,"DMM.futureworks, W-Toon Studio",fall,2017.0,2017-10-10 00:00:00,Manga,24.0,6.63,9048.0
MahoYome: Aisatsu,36501,ONA,"DMM.futureworks, W-Toon Studio",fall,2017.0,2017-10-03 00:00:00,Manga,1.0,6.0,8313.0
Escha Chron,34208,ONA,Lerche,fall,2017.0,2017-11-03 00:00:00,Other,2.0,6.44,7057.0
Wo Shi Jiang Xiaobai,36775,ONA,2:10 AM Animation,fall,2017.0,2017-11-09 00:00:00,Original,12.0,7.13,6907.0
Kamiusagi Rope x Boruto: Naruto Next Generations,36564,ONA,          -,fall,2017.0,2017-10-12 00:00:00,Other,1.0,5.54,6704.0
Huyao Xiao Hongniang: Nan Guo,36824,ONA,Haoliners Animation League,fall,2017.0,2017-11-24 00:00:00,Manga,26.0,7.36,6463.0
Girls & Panzer: Dai 63-kai Senshadou Zenkoku Koukousei Taikai Recap,36783,ONA,Actas,fall,2017.0,2017-11-11 00:00:00,Original,1.0,7.05,4740.0
Monster Strike Anime: Kieyuku Uchuu-hen,36246,ONA,"Anima, ILCA, XFLAG Pictures, Yokohama Animation Lab",fall,2017.0,2017-10-07 00:00:00,Game,13.0,6.39,4271.0
"Dies Irae: Marie's Memory ""Michi ni Tsuuzu Kiseki""",37148,ONA,A.C.G.T.,fall,2017.0,2017-12-29 00:00:00,Visual novel,1.0,5.72,4209.0
Itazura Majo to Nemuranai Machi,36861,ONA,SANZIGEN,fall,2017.0,2017-12-01 00:00:00,Original,1.0,5.97,4090.0
Guomin Laogong Dai Huijia 3rd Season,37181,ONA,Wawayu Animation,fall,2017.0,2017-10-25 00:00:00,Novel,12.0,6.11,3958.0
Cinderella Girls Gekijou: Kayou Cinderella Theater 2nd Season,36500,ONA,"Gathering, Lesprit",fall,2017.0,2017-10-03 00:00:00,4-koma manga,13.0,6.52,3663.0
Hitorigurashi no Shougakusei,35235,ONA,Signal.MD,fall,2017.0,2017-10-10 00:00:00,4-koma manga,10.0,6.48,3584.0
Sora yori mo Tooi Basho: Yokoku,37123,ONA,Madhouse,fall,2017.0,2017-12-29 00:00:00,Original,13.0,6.51,3360.0
Shen Qi Huan Qi Tan,36722,ONA,Mili Pictures,fall,2017.0,2017-10-31 00:00:00,Manga,24.0,6.07,3330.0
Keifuku-san,36156,ONA,Yaoyorozu,fall,2017.0,2017-12-28 00:00:00,Original,1.0,5.9,2634.0
Wu Geng Ji Zhi Tianqi,36910,ONA,Sparkly Key Animation Studio,fall,2017.0,2017-12-29 00:00:00,Manga,42.0,7.46,2582.0
CMFU Xueyuan: Shenshi Ji Jijian,37620,ONA,Shanghai Foch Film and TV Culture Investment,fall,2017.0,2017-11-21 00:00:00,Novel,24.0,0.0,1480.0
Onyankopon,35971,ONA,Kyotoma,fall,2017.0,2017-10-06 00:00:00,Other,12.0,4.53,1445.0
Qiang Shen Ji,39231,ONA,Mokai Technology,fall,2017.0,2017-12-08 00:00:00,Game,12.0,6.42,1326.0
Koisuru Shirokuma Tokubetsu-ban,36742,ONA,          -,fall,2017.0,2017-11-01 00:00:00,Manga,3.0,6.52,1264.0
Daitai 3-pun de Wakaru .hack History,36646,ONA,          -,fall,2017.0,2017-10-20 00:00:00,Other,1.0,5.81,1183.0
Yuuwaku★Office Lover 2,36705,ONA,          -,fall,2017.0,2017-12-26 00:00:00,Visual novel,10.0,0.0,1035.0
"Animegataris: Yuku Toshi, Kuru Toshi",37037,ONA,WAO World,fall,2017.0,2017-12-31 00:00:00,Original,1.0,5.72,1027.0
Namakura Gatana: Kunoichi-hen,38059,ONA,          -,fall,2017.0,2017-11-08 00:00:00,Original,1.0,4.67,949.0
Kodoku no Gourmet,35284,ONA,          -,fall,2017.0,2017-11-29 00:00:00,Manga,10.0,0.0,895.0
Ponkotsu Quest x Digimon Story: Cyber Sleuth - Hacker's Memory,36715,ONA,          -,fall,2017.0,2017-10-31 00:00:00,Other,1.0,5.27,801.0
Star Wars/Force no Kakusei,37334,ONA,          -,fall,2017.0,2017-12-15 00:00:00,Other,1.0,5.2,725.0
Star Wars/Saigo no Jedai: Tokubetsu Eizou,36774,ONA,          -,fall,2017.0,2017-11-08 00:00:00,Other,1.0,4.86,653.0
Kuruneko (ONA),35239,ONA,          -,fall,2017.0,2017-10-05 00:00:00,Web manga,10.0,0.0,574.0
Jian Wangchao 2,37058,ONA,          -,fall,2017.0,2017-10-12 00:00:00,Novel,12.0,0.0,518.0
LayereD Stories Zero,36866,ONA,          -,fall,2017.0,2017-11-22 00:00:00,Game,9.0,0.0,503.0
AOTU Shijie 2,36345,ONA,          -,fall,2017.0,2017-10-31 00:00:00,Web manga,20.0,0.0,441.0
"Baito-saki wa ""Aku no Soshiki""!?",36771,ONA,HeART-BIT,fall,2017.0,2017-11-13 00:00:00,Novel,10.0,0.0,425.0
Mirai Koushi Harima SACLA NEX RAY,39056,ONA,Kamikaze Douga,fall,2017.0,2017-10-12 00:00:00,Original,1.0,5.64,401.0
Yakiniku-ten Sengoku,36626,ONA,          -,fall,2017.0,2017-12-17 00:00:00,Web manga,12.0,0.0,398.0
Mu Wang Zhi Wang: Xuan Guan Si,39720,ONA,BUILD DREAM,fall,2017.0,2017-12-07 00:00:00,Original,20.0,0.0,397.0
Monogatari no Aru Satou,36578,ONA,dwarf,fall,2017.0,2017-10-10 00:00:00,Original,1.0,6.0,394.0
Qin Shi Ming Yue: Yi Zhe Ru Shi,37566,ONA,Sparkly Key Animation Studio,fall,2017.0,2017-10-05 00:00:00,Novel,1.0,0.0,357.0
"Chiisana Tayori, Ookina Tayori.",37777,ONA,          -,fall,2017.0,2017-12-08 00:00:00,Original,1.0,6.33,344.0
Drive Agent Personal: Shiawase wo Mamoru Mono,36731,ONA,          -,fall,2017.0,2017-10-16 00:00:00,Original,1.0,5.89,339.0
Wares: Beyond,36883,ONA,          -,fall,2017.0,2017-12-03 00:00:00,Novel,1.0,0.0,320.0
Mighty Thor: Battle Royale,36712,ONA,          -,fall,2017.0,2017-10-29 00:00:00,Other,1.0,5.06,318.0
Pianoman Trailer,41505,ONA,Echoes,fall,2017.0,2017-12-28 00:00:00,Original,1.0,5.37,311.0
The Lamp Man,39335,ONA,Live2D Creative Studio,fall,2017.0,2017-12-03 00:00:00,Original,1.0,5.86,287.0
Break Go!Ga!,36954,ONA,          -,fall,2017.0,2017-12-14 00:00:00,Other,1.0,0.0,259.0
Iryou Keiei Consultant,37543,ONA,          -,fall,2017.0,2017-11-07 00:00:00,Original,1.0,5.43,241.0
"Taisetsu na Kazoku wo Tsutsumu, Sono Te.",37790,ONA,G-angle,fall,2017.0,2017-11-23 00:00:00,Original,1.0,0.0,237.0
Mentori,36905,ONA,          -,fall,2017.0,2017-12-14 00:00:00,Other,10.0,0.0,208.0
Oshushi Da yo,36464,ONA,          -,fall,2017.0,2017-10-20 00:00:00,Web manga,10.0,0.0,194.0
GJ8man Soushuuhen,36543,ONA,          -,fall,2017.0,2017-10-08 00:00:00,Original,0.0,0.0,187.0
Woo to Wah,37020,ONA,dwarf,fall,2017.0,2017-10-02 00:00:00,Original,0.0,0.0,165.0
Nu Sheng Su She Ri Chang Di 2 Ji,40088,ONA,          -,fall,2017.0,2017-10-21 00:00:00,-,7.0,0.0,107.0
Shingeki no Kyojin: Lost Girls,36106,OVA,Wit Studio,fall,2017.0,2017-12-08 00:00:00,Novel,3.0,7.79,240254.0
Nekopara OVA,34658,OVA,Felix Film,fall,2017.0,2017-12-22 00:00:00,Visual novel,1.0,6.96,72066.0
Drifters (OVA),36480,OVA,Hoods Drifters Studio,fall,2017.0,2017-12-23 00:00:00,Manga,2.0,7.54,67481.0
Mobile Suit Gundam: The Origin,10937,OVA,Sunrise,fall,2017.0,2015-02-28 00:00:00,Manga,6.0,8.34,59819.0
Hajimete no Gal: Hajimete no Bunkasai,35237,OVA,NAZ,fall,2017.0,2017-12-26 00:00:00,Manga,1.0,6.48,58183.0
"Busou Shoujo Machiavellianism: Doki! ""Goken-darake"" no Ian Ryokou",35314,OVA,"Connect, SILVER LINK.",fall,2017.0,2017-11-25 00:00:00,Manga,1.0,6.81,41552.0
To LOVE-Ru: Multiplication - Mae kara Ushiro kara,35000,OVA,Xebec,fall,2017.0,2017-11-02 00:00:00,Manga,1.0,7.16,38524.0
Yama no Susume: Omoide Present,35673,OVA,8bit,fall,2017.0,2017-10-28 00:00:00,Manga,1.0,7.38,10721.0
Lostorage Conflated WIXOSS: Missing Link,36083,OVA,J.C.Staff,fall,2017.0,2017-12-14 00:00:00,Card game,1.0,6.55,4964.0
Baja no Studio,35965,OVA,Kyoto Animation,fall,2017.0,2017-10-28 00:00:00,Original,1.0,7.01,4471.0
High & Low: G-Sword OVA,36592,OVA,          -,fall,2017.0,2017-10-17 00:00:00,Other,1.0,0.0,244.0
Fate/stay night Movie: Heaven's Feel - I. Presage Flower,25537,Movie,ufotable,fall,2017.0,2017-10-14 00:00:00,Visual novel,1.0,8.21,359381.0
Code Geass: Hangyaku no Lelouch I - Koudou,34438,Movie,Sunrise,fall,2017.0,2017-10-21 00:00:00,Original,1.0,7.9,82240.0
Free!: Take Your Marks,35198,Movie,Kyoto Animation,fall,2017.0,2017-10-28 00:00:00,Original,1.0,7.76,63973.0
Godzilla 1: Kaijuu Wakusei,33783,Movie,Polygon Pictures,fall,2017.0,2017-11-17 00:00:00,Original,1.0,6.46,54423.0
Girls & Panzer: Saishuushou Part 1,33970,Movie,Actas,fall,2017.0,2017-12-09 00:00:00,Original,1.0,7.95,36512.0
Gochuumon wa Usagi Desu ka??: Dear My Sister,33280,Movie,production doA,fall,2017.0,2017-11-11 00:00:00,4-koma manga,1.0,7.79,34825.0
"Haikara-san ga Tooru Movie 1: Benio, Hana no 17-sai",33378,Movie,Nippon Animation,fall,2017.0,2017-11-11 00:00:00,Manga,1.0,7.49,20289.0
Dance with Devils: Fortuna,34830,Movie,Brain's Base,fall,2017.0,2017-11-04 00:00:00,Original,1.0,6.28,16880.0
"Donten ni Warau Gaiden: Ketsubetsu, Yamainu no Chikai",35086,Movie,Wit Studio,fall,2017.0,2017-12-02 00:00:00,Manga,1.0,7.4,12645.0
Mobile Suit Gundam Thunderbolt: Bandit Flower,35949,Movie,Sunrise,fall,2017.0,2017-11-18 00:00:00,Manga,1.0,7.27,9878.0
Full Metal Panic! Movie 1: Boy Meets Girl,36342,Movie,Gonzo,fall,2017.0,2017-11-25 00:00:00,Light novel,1.0,6.94,6037.0
Free!: Take Your Marks: Character Butai Aisatsu,37860,Movie,Kyoto Animation,fall,2017.0,2017-10-28 00:00:00,Original,4.0,6.87,5377.0
Yowamushi Pedal: Re:Generation,35880,Movie,TMS Entertainment,fall,2017.0,2017-10-13 00:00:00,Manga,1.0,7.11,4882.0
Touken Ranbu: Hanamaru - Makuai Kaisouroku,36444,Movie,Doga Kobo,fall,2017.0,2017-12-01 00:00:00,Game,1.0,6.45,4877.0
Mobile Suit Gundam: Twilight Axis - Akaki Zan-ei,36436,Movie,Sunrise,fall,2017.0,2017-11-18 00:00:00,Novel,1.0,5.51,3265.0
Kirakira☆Precure A La Mode Movie: Paritto! Omoide no Mille-Feuille!,35206,Movie,Toei Animation,fall,2017.0,2017-10-28 00:00:00,Original,1.0,6.77,2471.0
Touken Ranbu: Hanamaru - Makuai Kaisouroku Manner Movies,40124,Movie,          -,fall,2017.0,2017-12-01 00:00:00,Game,2.0,0.0,1134.0
DC Super Heroes vs Taka no Tsume-dan,35219,Movie,DLE,fall,2017.0,2017-10-21 00:00:00,Other,1.0,5.59,1086.0
Petit☆Dream Stars! Let's La Cooking? Showtime!,37051,Movie,Toei Animation,fall,2017.0,2017-10-28 00:00:00,Original,1.0,5.9,651.0
"""Tokyo""",38748,Movie,          -,fall,2017.0,2017-10-05 00:00:00,Original,1.0,4.29,550.0
Mizu no Yume,37454,Movie,          -,fall,2017.0,,Original,1.0,0.0,142.0
Dino King 3D: Journey to Fire Mountain,48310,Movie,          -,fall,2017.0,2017-10-14 00:00:00,Original,1.0,0.0,62.0
Net-juu no Susume Special,36043,Special,Signal.MD,fall,2017.0,2017-12-08 00:00:00,Web manga,1.0,7.38,89870.0
Fate/Grand Order: Moonlight/Lostroom,36915,Special,Lay-duce,fall,2017.0,2017-12-31 00:00:00,Game,1.0,6.29,45707.0
Kakegurui Picture Drama,38939,Special,MAPPA,fall,2017.0,2017-10-13 00:00:00,Manga,3.0,6.69,25814.0
Dies Irae: Reimei,36524,Special,A.C.G.T.,fall,2017.0,2017-10-07 00:00:00,Visual novel,1.0,5.34,22489.0
Fate/Grand Order: Himuro no Tenchi - 7-nin no Saikyou Ijin-hen,36914,Special,ufotable,fall,2017.0,2017-12-31 00:00:00,Game,1.0,6.35,16405.0
Granblue Fantasy The Animation: Kabocha no Lantern,35814,Special,A-1 Pictures,fall,2017.0,2017-11-29 00:00:00,Game,1.0,6.62,15524.0
Baka to Test to Shoukanjuu Mini Anime,36250,Special,          -,fall,2017.0,2017-11-29 00:00:00,Light novel,1.0,6.71,13866.0
Mahoutsukai no Yome Recap,37031,Special,Wit Studio,fall,2017.0,2017-12-31 00:00:00,Manga,1.0,7.24,12809.0
BanG Dream!: Asonjatta!,34870,Special,Xebec,fall,2017.0,2017-11-22 00:00:00,Original,1.0,7.08,9996.0
Yuuki Yuuna wa Yuusha de Aru: Hidamari,36798,Special,Studio Gokumi,fall,2017.0,2017-11-18 00:00:00,Original,1.0,7.02,8299.0
Drifters (OVA): Kokuou-sama Goranshin,37046,Special,Hoods Drifters Studio,fall,2017.0,2017-12-23 00:00:00,-,1.0,6.41,6342.0
The iDOLM@STER Prologue SideM: Episode of Jupiter,36186,Special,A-1 Pictures,fall,2017.0,2017-10-01 00:00:00,Game,1.0,7.16,5481.0
Senki Zesshou Symphogear AXZ: Senki Zesshou Shinai Symphogear,36692,Special,Satelight,fall,2017.0,2017-11-29 00:00:00,Original,4.0,6.89,4121.0
Boku wa Robot-goshi no Kimi ni Koi wo Suru,36542,Special,A-1 Pictures,fall,2017.0,2017-10-21 00:00:00,Novel,1.0,6.3,4049.0
Evil or Live Recap,36932,Special,          -,fall,2017.0,2017-12-13 00:00:00,Web manga,1.0,5.15,3897.0
Girls & Panzer Movie: Cinematic Concert - Fushou Akiyama Yukari no Sensha Kouza - Shoujun-hen,49153,Special,Actas,fall,2017.0,2017-12-22 00:00:00,Original,1.0,6.45,1952.0
Sengoku Night Blood: Ongaku Dai Tokushuu,36834,Special,Typhoon Graphics,fall,2017.0,2017-11-21 00:00:00,Game,1.0,6.26,1911.0
Tantei Opera Milky Holmes: Arsene Karei naru Yokubou,36827,Special,J.C.Staff,fall,2017.0,2017-12-31 00:00:00,Original,1.0,6.77,1881.0
Code Geass: Hangyaku no Lelouch Picture Drama - Kamen Kokuhaku Taikai,40836,Special,          -,fall,2017.0,2017-10-21 00:00:00,Original,1.0,5.67,1795.0
Cinderella Girls Gekijou 2nd Season Specials,36942,Special,"Gathering, Lesprit",fall,2017.0,2017-11-29 00:00:00,4-koma manga,3.0,6.31,1659.0
THE iDOLM@STER Cinderella Girls: Starlight Stage - Shinshun! Happy New Year Campaign,37124,Special,          -,fall,2017.0,2017-12-31 00:00:00,Game,1.0,5.79,940.0
Ani x Para: Anata no Hero wa Dare desu ka,37290,Special,"DLE, Gallop, Nippon Animation, TMS Entertainment",fall,2017.0,2017-11-10 00:00:00,Original,12.0,6.61,752.0
4 Shuunen Monst? Shiru ka yo!,36624,Special,          -,fall,2017.0,,Game,1.0,4.97,584.0
Mameshiba x Tunes!,39697,Special,          -,fall,2017.0,,Other,1.0,5.06,324.0
Aware! Meisaku-kun: Oronamin C,36874,Special,          -,fall,2017.0,2017-11-30 00:00:00,Original,1.0,0.0,232.0
Wego Graphics,38771,Special,          -,fall,2017.0,2017-10-07 00:00:00,Original,2.0,0.0,200.0
