title;MAL_id;type;release-season;release-year;crazy-gump score;friends_mean_score;nb_who_watched_it;friend_who_watched_it
Schoolgirl Strikers: Animation Channel;34289;TV;winter;2017;;6;1;"Yokanime;"
Nanatsu no Taizai: Seisen no Shirushi;31722;TV;summer;2016;;6;2;"DrNock;Steins02;"
Idol Jihen;34028;TV;winter;2017;;6;1;"Yokanime;"
Minami Kamakura Koukou Joshi Jitenshabu;31422;TV;winter;2017;;6;1;"Yokanime;"
Brave Witches;32866;TV;fall;2016;;6;1;"DrNock;"
Pop in Q;30695;Movie;fall;2016;;6;1;"DrNock;"
Show By Rock!! #;32038;TV;fall;2016;;6;1;"DrNock;"
Chain Chronicle: Haecceitas no Hikari Part 3;33730;Movie;winter;2017;;6;1;"Yokanime;"
Touken Ranbu: Hanamaru;33023;TV;fall;2016;;6;1;"Yokanime;"
Regalia: The Three Sacred Stars;32961;TV;summer;2016;;6;2;"Yokanime;Yokanime;"
Tales of Zestiria the Cross: Saiyaku no Jidai;33558;Special;summer;2016;;6;1;"Yokanime;"
Kaze no Matasaburou (Movie);30922;Movie;winter;2016;;6;2;"DrNock;leejongki;"
Saint Seiya: Saintia Shou;34539;ONA;fall;2018;;6;1;"Yokanime;"
Bermuda Triangle: Colorful Pastrale;38199;TV;winter;2019;;6;1;"Yokanime;"
Kaichou wa Maid-sama!: Goshujinsama to Asonjao♥;10298;Special;summer;2010;;6;2;"Djidji;leejongki;"
Bishoujo Senshi Sailor Moon Eternal Movie 2;40429;Movie;winter;2021;;6;1;"Yokanime;"
Bishoujo Senshi Sailor Moon Eternal Movie 1;40024;Movie;winter;2021;;6;1;"Yokanime;"
Show By Rock!!;27441;TV;spring;2015;;6;1;"DrNock;"
Hypnosis Mic: Division Rap Battle - Rhyme Anima;40803;TV;fall;2020;;6;1;"Yokanime;"
Umayon;38835;TV;summer;2020;;6;1;"Yokanime;"
Kandagawa Jet Girls;40196;TV;fall;2019;;6;1;"Yokanime;"
Highschool of the Dead;8074;TV;summer;2010;7;6;6;"Djidji;DrNock;leejongki;Steins02;SaberXTohsaka;sazabiron;"
Kami nomi zo Shiru Sekai: Flag 0;9675;OVA;summer;2010;;6;1;"Djidji;"
Circlet Princess;38157;TV;winter;2019;;6;1;"Yokanime;"
To LOVE-Ru Darkness 2nd;28979;TV;summer;2015;;6;2;"DrNock;SaberXTohsaka;"
Wakako-zake;30437;TV;summer;2015;;6;2;"DrNock;leejongki;"
Ajin Part 1: Shoudou;30868;Movie;fall;2015;;6;1;"DrNock;"
Hane (2015);33885;Music;fall;2015;;6;1;"DrNock;"
Himouto! Umaru-chan OVA;30991;OVA;fall;2015;;6;1;"DrNock;"
Mini Toji;38673;TV;winter;2019;;6;1;"Yokanime;"
Mahou Shoujo Madoka★Magica: Concept Movie;32153;Movie;fall;2015;;6;1;"DrNock;"
Ginga Kikoutai Majestic Prince: Mirai e no Tsubasa;33024;Special;summer;2016;;6;1;"Yokanime;"
ACCA: 13-ku Kansatsu-ka Specials;35720;Special;spring;2017;;6;1;"DrNock;"
One Piece Movie 14: Stampede;38234;Movie;summer;2019;;6;3;"DrNock;leejongki;Steins02;"
ID-0;33797;TV;spring;2017;;6;1;"DrNock;"
Walking Meat;33438;Movie;summer;2018;;6;1;"DrNock;"
Tsubasa to Hotaru;21781;Special;winter;2014;;6;1;"Yokanime;"
Senki Zesshou Symphogear G: Senki Zesshou Shinai Symphogear;20843;Special;winter;2014;;6;1;"Yokanime;"
Buddy Complex;21437;TV;winter;2014;;6;1;"Yokanime;"
Turning Girls;19133;ONA;spring;2013;;6;1;"Yokanime;"
Koukaku Kidoutai Arise: Another Mission;18989;Special;spring;2013;;6;1;"Yokanime;"
Hayate no Gotoku! Cuties;16982;TV;spring;2013;;6;1;"Yokanime;"
Nozoki Ana;17157;OVA;winter;2013;7;6;1;"Yokanime;"
Dragon Ball Z Movie 14: Kami to Kami;14837;Movie;winter;2013;;6;2;"Yokanime;Steins02;"
Bakumatsu Gijinden Roman;16211;TV;winter;2013;;6;1;"Yokanime;"
"Girls &amp; Panzer: Fushou Akiyama Yukari no Sensha Kouza";18343;Special;fall;2012;;6;1;"Yokanime;"
To LOVE-Ru Darkness OVA;13851;OVA;summer;2012;;6;6;"Yokanime;Yokanime;Yokanime;Yokanime;Yokanime;Yokanime;"
Laidbackers;38558;Movie;spring;2019;;6;1;"DrNock;"
Muv-Luv Alternative: Total Eclipse;11021;TV;summer;2012;;6;4;"Yokanime;Yokanime;sazabiron;sazabiron;"
Chouyaku Hyakuninisshu: Uta Koi.;13349;TV;summer;2012;;6;2;"Yokanime;Steins02;"
Gochuumon wa Usagi Desu ka??: Sing for You;38333;OVA;summer;2019;;6;1;"DrNock;"
Ni no Kuni;39235;Movie;summer;2019;;6;1;"DrNock;"
Wakaokami wa Shougakusei! Movie;37682;Movie;summer;2018;;6;1;"DrNock;"
Abarenbou Rikishi!! Matsutarou;22831;TV;spring;2014;;6;2;"Yokanime;Yokanime;"
Non Non Biyori Movie: Vacation;36990;Movie;summer;2018;;6;1;"DrNock;"
Gochuumon wa Usagi Desu ka??: Dear My Sister;33280;Movie;fall;2017;;6;1;"DrNock;"
Kemono Friends: Bus-teki;35347;ONA;spring;2017;;6;1;"DrNock;"
Schwarzesmarken;30806;TV;winter;2016;4;6;1;"Yokanime;"
Bungou Stray Dogs: Hitori Ayumu;33071;OVA;summer;2017;;6;1;"DrNock;"
Dance with Devils;29976;TV;fall;2015;;6;1;"Yokanime;"
Mary to Majo no Hana;34541;Movie;summer;2017;;6;3;"DrNock;leejongki;Yokanime;"
Tsuki ga Kirei Special;36539;Special;summer;2017;;6;1;"DrNock;"
Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou 3 - Yakusoku;34376;Movie;summer;2017;;6;1;"DrNock;"
Haikara-san ga Tooru Movie 1: Benio, Hana no 17-sai;33378;Movie;fall;2017;;6;1;"DrNock;"
Marvel Disk Wars: The Avengers;21013;TV;spring;2014;;6;4;"Yokanime;Yokanime;Yokanime;Yokanime;"
Saint Seiya: Soul of Gold;28215;ONA;spring;2015;;6;2;"Yokanime;Steins02;"
High School DxD BorN;24703;TV;spring;2015;;6;4;"Yokanime;Zccdcccc;Steins02;SaberXTohsaka;"
Hibike! Euphonium: Suisougaku-bu no Nichijou;31096;Special;spring;2015;;6;1;"Yokanime;"
Wake Up, Girl Zoo!;25875;ONA;fall;2014;;6;1;"Yokanime;"
Chiisana Eiyuu: Kani to Tamago to Toumei Ningen;37623;Movie;summer;2018;;6;1;"DrNock;"
Buddy Complex: Kanketsu-hen - Ano Sora ni Kaeru Mirai de;24469;Special;summer;2014;;6;1;"Yokanime;"
FLCL Alternative;35842;Movie;summer;2018;;6;1;"DrNock;"
Nana to Kaoru;9741;OVA;winter;2011;;6;1;"Yokanime;"
Brave Witches: Petersburg Daisenryaku;34644;Special;summer;2017;;6;1;"DrNock;"
Kyoukai no Kanata Movie: Ill Be Here - Kako-hen - Yakusoku no Kizuna;30745;Special;winter;2015;;6;1;"DrNock;"
Amanchu! Advance;36800;TV;spring;2018;;6;2;"Djidji;DrNock;"
Yowamushi Pedal: Glory Line;35789;TV;winter;2018;;6;2;"Djidji;Djidji;"
Mob Psycho 100: Reigen - Shirarezaru Kiseki no Reinouryokusha;36616;Special;winter;2018;;6;1;"Djidji;"
Miira no Kaikata;35828;TV;winter;2018;;6;1;"Djidji;"
Suite Precure♪;9893;TV;winter;2011;;6;4;"DrNock;DrNock;DrNock;DrNock;"
Toaru Majutsu no Index-tan II;10249;Special;winter;2011;;6;2;"DrNock;SaberXTohsaka;"
Killing Bites;34964;TV;winter;2018;;6;1;"Djidji;"
Kaijuu Girls: Ultra Kaijuu Gijinka Keikaku 2nd Season;36196;TV;winter;2018;;6;1;"Djidji;"
Hakumei to Mikochi;36094;TV;winter;2018;;6;3;"Djidji;DrNock;Yokanime;"
Hakata Tonkotsu Ramens;35889;TV;winter;2018;7;6;2;"Djidji;Steins02;"
Darling in the FranXX;35849;TV;winter;2018;8;6;8;"Djidji;Djidji;DrNock;DrNock;Yokanime;Yokanime;SaberXTohsaka;SaberXTohsaka;"
Dagashi Kashi 2;36049;TV;winter;2018;;6;1;"Djidji;"
Starship Troopers: Invasion;14629;Movie;summer;2012;;6;1;"Djidji;"
Kimi ni Todoke 2nd Season: Minitodo Gekijou;10536;Special;spring;2011;;6;1;"DrNock;"
RoboMasters the Animated Series;34903;TV;fall;2017;;6;1;"Djidji;"
Osake wa Fuufu ni Natte kara;35484;TV;fall;2017;6;6;3;"Djidji;DrNock;leejongki;"
Nekopara OVA;34658;OVA;fall;2017;;6;2;"Djidji;leejongki;"
Kujira no Kora wa Sajou ni Utau;34712;TV;fall;2017;8;6;2;"Djidji;DrNock;"
Precure All Stars Movie DX3: Mirai ni Todoke! Sekai wo Tsunagu☆Nijiiro no Hana;9979;Movie;winter;2011;;6;1;"DrNock;"
Morita-san wa Mukuchi;9774;OVA;winter;2011;;6;1;"DrNock;"
Mahou Sensei Negima!: Mou Hitotsu no Sekai Extra - Mahou Shoujo Yue♥;10628;OVA;fall;2010;;6;1;"DrNock;"
Kimi ni Todoke 2nd Season: Kataomoi;10152;Special;winter;2011;;6;1;"DrNock;"
Masamune-kun no Revenge OVA;37377;OVA;summer;2018;;6;2;"Djidji;Yokanime;"
Kyoto Teramachi Sanjou no Holmes;37458;TV;summer;2018;;6;2;"Djidji;Yokanime;"
Island;33012;TV;summer;2018;;6;3;"Djidji;DrNock;SaberXTohsaka;"
Happy Sugar Life;37517;TV;summer;2018;6;6;3;"Djidji;DrNock;Yokanime;"
Golden Kamuy OVA;37884;OVA;summer;2018;;6;2;"Djidji;DrNock;"
Tantei Opera Milky Holmes;7768;TV;fall;2010;;6;1;"DrNock;"
Gegege no Kitarou (2018);37140;TV;spring;2018;6;6;8;"Djidji;Djidji;Djidji;Djidji;Djidji;Djidji;Djidji;Djidji;"
Yozakura Quartet: Hoshi no Umi;8457;OVA;fall;2010;;6;2;"DrNock;Yokanime;"
Shiyan Pin Jiating;36397;ONA;spring;2018;4;6;1;"Djidji;"
Bannou Yasai Ninninman;10501;Movie;winter;2011;;6;1;"DrNock;"
Mahou Shoujo Site;36266;TV;spring;2018;;6;1;"Djidji;"
Lostorage Conflated WIXOSS;34607;TV;spring;2018;;6;1;"Djidji;"
Last Period: Owarinaki Rasen no Monogatari;37254;TV;spring;2018;;6;2;"Djidji;DrNock;"
Kakuriyo no Yadomeshi;36754;TV;spring;2018;;6;4;"Djidji;Djidji;DrNock;DrNock;"
Dorei-ku The Animation;36525;TV;spring;2018;;6;1;"Djidji;"
Kimi ni Todoke 2nd Season;9656;TV;winter;2011;8;6;1;"DrNock;"
Digimon Adventure tri. 6: Bokura no Mirai;36466;Movie;spring;2018;;6;3;"Djidji;leejongki;Zccdcccc;"
Itazura Majo to Nemuranai Machi;36861;ONA;fall;2017;;6;1;"Djidji;"
"Busou Shoujo Machiavellianism: Doki! ""Goken-darake"" no Ian Ryokou";35314;OVA;fall;2017;;6;2;"Djidji;DrNock;"
Boku no Kanojo ga Majimesugiru Sho-bitch na Ken;35712;TV;fall;2017;;6;1;"Djidji;"
Shoukoku no Altair;34547;TV;summer;2017;;6;2;"Djidji;Djidji;"
To Be Hero;34009;TV;fall;2016;;6;1;"Djidji;"
Teekyuu 8;33811;TV;fall;2016;;6;3;"Djidji;DrNock;leejongki;"
Shuumatsu no Izetta;33433;TV;fall;2016;5;6;3;"Djidji;DrNock;Yokanime;"
Monster Strike The Movie: Hajimari no Basho e;33724;Movie;fall;2016;;6;1;"Djidji;"
Monster Musume no Iru Nichijou OVA;32698;OVA;fall;2016;;6;1;"Djidji;"
Long Riders!;30652;TV;fall;2016;;6;4;"Djidji;Djidji;Yokanime;Yokanime;"
Koro-sensei Quest!;34389;ONA;fall;2016;;6;4;"Djidji;Djidji;leejongki;leejongki;"
Kiitarou Shounen no Youkai Enikki;33244;TV;fall;2016;;6;2;"Djidji;DrNock;"
Ikoku Meiro no Croisée Picture Drama;10905;Special;fall;2011;;6;1;"DrNock;"
Bernard-jou Iwaku.;33462;TV;fall;2016;;6;2;"Djidji;DrNock;"
Last Exile: Ginyoku no Fam;10336;TV;fall;2011;;6;2;"DrNock;DrNock;"
Teekyuu;15125;TV;fall;2012;;6;5;"Djidji;DrNock;leejongki;Yokanime;Steins02;"
Mahoutsukai Jiji;12755;ONA;fall;2011;;6;1;"DrNock;"
Time Travel Shoujo: Mari Waka to 8-nin no Kagakusha-tachi;33341;TV;summer;2016;;6;1;"Djidji;"
Quanzhi Fashi;34300;ONA;summer;2016;;6;1;"Djidji;"
Fukigen na Mononokean;32696;TV;summer;2016;;6;2;"Djidji;DrNock;"
GJ-bu;14811;TV;winter;2013;;6;3;"Djidji;DrNock;Steins02;"
6HP (Six Hearts Princess);29643;Special;fall;2016;;6;1;"Djidji;"
Akibas Trip The Animation;34051;TV;winter;2017;;6;3;"Djidji;DrNock;Yokanime;"
Little Witch Academia (TV);33489;TV;winter;2017;5;6;6;"Djidji;Djidji;DrNock;DrNock;Yokanime;Yokanime;"
Kore wa Zombie Desu ka? of the Dead: Hai, Minotake ni Attemasu;15437;OVA;fall;2012;;6;3;"Djidji;leejongki;SaberXTohsaka;"
Nana Maru San Batsu;34580;TV;summer;2017;;6;3;"Djidji;DrNock;Yokanime;"
Keppeki Danshi! Aoyama-kun;34825;TV;summer;2017;;6;1;"Djidji;"
Centaur no Nayami;34525;TV;summer;2017;;6;1;"Djidji;"
Ikoku Meiro no Croisée The Animation;9938;TV;summer;2011;;6;3;"DrNock;Yokanime;Steins02;"
Action Heroine Cheer Fruits;34800;TV;summer;2017;;6;1;"Djidji;"
18if;35248;TV;summer;2017;;6;1;"Djidji;"
"Ikoku Meiro no Croisée: Yune &amp; Alice";10832;Special;summer;2011;;6;1;"DrNock;"
Monster Strike Anime;34670;ONA;spring;2017;;6;1;"Djidji;"
Tantei Opera Milky Holmes: Summer Special;10923;Special;summer;2011;;6;1;"DrNock;"
Busou Shoujo Machiavellianism;33475;TV;spring;2017;;6;3;"Djidji;DrNock;SaberXTohsaka;"
Berserk 2nd Season;34055;TV;spring;2017;;6;1;"Djidji;"
No Guns Life 2nd Season;40529;TV;summer;2020;6;6;2;"Djidji;Zccdcccc;"
Boruto: Naruto Next Generations;34566;TV;spring;2017;;6;40;"Djidji;Djidji;Djidji;Djidji;Djidji;Djidji;Djidji;Djidji;Djidji;Djidji;Djidji;Djidji;Djidji;Djidji;Djidji;Djidji;Djidji;Djidji;Djidji;Djidji;leejongki;leejongki;leejongki;leejongki;leejongki;leejongki;leejongki;leejongki;leejongki;leejongki;leejongki;leejongki;leejongki;leejongki;leejongki;leejongki;leejongki;leejongki;leejongki;leejongki;"
Naruto: Shippuuden Movie 5 - Blood Prison;10589;Movie;summer;2011;;6;3;"DrNock;leejongki;Steins02;"
Yowamushi Pedal: New Generation;31783;TV;winter;2017;;6;2;"Djidji;Djidji;"
Onihei;33983;TV;winter;2017;7;6;2;"Djidji;Zccdcccc;"
One Room Second Season;36431;TV;summer;2018;;6;2;"Djidji;leejongki;"
Macross F Music Clip Shuu: Nyankuri;10050;Music;fall;2010;;6;1;"DrNock;"
Usakame;32454;TV;spring;2016;;6;2;"Djidji;DrNock;"
Maji de Watashi ni Koi Shinasai!;10213;TV;fall;2011;;6;4;"Djidji;Yokanime;Steins02;SaberXTohsaka;"
Mairimashita! Iruma-kun;39196;TV;fall;2019;8;6;6;"Djidji;Djidji;Steins02;Steins02;SaberXTohsaka;SaberXTohsaka;"
Isekai Maou to Shoukan Shoujo no Dorei Majutsu Ω;41623;TV;spring;2021;;6;1;"Djidji;"
Koi to Yobu ni wa Kimochi Warui;41103;TV;spring;2021;8;6;1;"Djidji;"
Kyuukyoku Shinka shita Full Dive RPG ga Genjitsu yori mo Kusoge Dattara;44276;TV;spring;2021;;6;1;"Djidji;"
Shakunetsu Kabaddi;42395;TV;spring;2021;;6;1;"Djidji;"
Shuumatsu no Walküre;44942;ONA;spring;2021;;6;2;"Djidji;Steins02;"
Kabukichou Sherlock;38161;TV;fall;2019;;6;4;"Djidji;Djidji;Steins02;Steins02;"
Slime Taoshite 300-nen, Shiranai Uchi ni Level Max ni Nattemashita;40586;TV;spring;2021;;6;3;"Djidji;DrNock;Yokanime;"
Hataage! Kemono Michi;39030;TV;fall;2019;6;6;1;"Djidji;"
Choujin Koukousei-tachi wa Isekai demo Yoyuu de Ikinuku you desu!;39523;TV;fall;2019;5;6;2;"Djidji;Steins02;"
Higurashi no Naku Koro ni Sotsu;48488;TV;summer;2021;;6;3;"Djidji;DrNock;Yokanime;"
Night Head 2041;43767;TV;summer;2021;;6;1;"Djidji;"
Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta... X;42282;TV;summer;2021;6;6;2;"Djidji;Yokanime;"
Seirei Gensouki;44203;TV;summer;2021;4;6;1;"Djidji;"
Azur Lane;38328;TV;fall;2019;;6;4;"Djidji;Djidji;Yokanime;Yokanime;"
Tantei wa Mou, Shindeiru.;46471;TV;summer;2021;;6;1;"Djidji;"
Shin no Nakama ja Nai to Yuusha no Party wo Oidasareta node, Henkyou de Slow Life suru Koto ni Shimashita;44037;TV;fall;2021;;6;1;"Djidji;"
Nanatsu no Taizai: Kamigami no Gekirin;39701;TV;fall;2019;;6;6;"Djidji;Djidji;Steins02;Steins02;SaberXTohsaka;SaberXTohsaka;"
Rifle Is Beautiful;38529;TV;fall;2019;;6;1;"Djidji;"
Koe de Oshigoto! The Animation;8876;OVA;fall;2010;7;6;4;"DrNock;DrNock;Yokanime;Yokanime;"
Yatogame-chan Kansatsu Nikki Sansatsume;42959;TV;winter;2021;;6;1;"Djidji;"
Dragon Quest: Dai no Daibouken (2020);40906;TV;fall;2020;;6;6;"Djidji;Djidji;Djidji;Djidji;Djidji;Djidji;"
Monster Musume no Oishasan;40708;TV;summer;2020;4;6;1;"Djidji;"
Rikei ga Koi ni Ochita no de Shoumei shitemita.;38992;TV;winter;2020;7;6;1;"Djidji;"
Murenase! Seton Gakuen;40483;TV;winter;2020;4;6;1;"Djidji;"
Maesetsu!;40085;TV;fall;2020;;6;2;"Djidji;DrNock;"
Mahouka Koukou no Rettousei: Raihousha-hen;40497;TV;fall;2020;;6;3;"Djidji;DrNock;Yokanime;"
Osomatsu-san 3rd Season;42391;TV;fall;2020;;6;2;"Djidji;Djidji;"
Bungou Stray Dogs Wan!;42250;TV;winter;2021;;6;1;"Djidji;"
His Lipstick;26009;ONA;winter;2012;;6;1;"Djidji;"
Hataraku Saibou!!;39586;TV;winter;2021;;6;2;"Djidji;DrNock;"
Kai Byoui Ramune;42822;TV;winter;2021;;6;1;"Djidji;"
Log Horizon: Entaku Houkai;41109;TV;winter;2021;;6;3;"Djidji;DrNock;Yokanime;"
Kyokou Suiri;39017;TV;winter;2020;8;6;3;"Djidji;DrNock;Steins02;"
Skate-Leading☆Stars;40786;TV;winter;2021;;6;1;"Djidji;"
7 Seeds 2nd Season;40602;ONA;winter;2020;;6;1;"Djidji;"
Mugen no Juunin: Immortal;39806;ONA;fall;2019;6;6;2;"Djidji;Zccdcccc;"
Yakusoku no Neverland 2nd Season;39617;TV;winter;2021;5;6;1;"Djidji;"
Nakanohito Genome [Jikkyouchuu];37926;TV;summer;2019;;6;1;"Djidji;"
Kimi ni Todoke;6045;TV;winter;2010;8;6;1;"DrNock;"
Haiyore! Nyaruko-san;11785;TV;spring;2012;7;6;5;"Djidji;DrNock;Zccdcccc;Steins02;SaberXTohsaka;"
Shoka;8337;Special;winter;2010;;6;1;"DrNock;"
Girly Air Force;37998;TV;winter;2019;;6;1;"Djidji;"
Fukigen na Mononokean Tsuzuki;37958;TV;winter;2019;;6;1;"Djidji;"
Eromanga-sensei OVA;36792;OVA;winter;2019;;6;3;"Djidji;DrNock;leejongki;"
Campione!: Matsurowanu Kamigami to Kamigoroshi no Maou;12293;TV;summer;2012;;6;3;"Djidji;Yokanime;Steins02;"
Hashiri Tsuzukete Yokattatte.;38254;TV;fall;2018;;6;2;"Djidji;leejongki;"
Hangyakusei Million Arthur;37555;TV;fall;2018;;6;1;"Djidji;"
"Gyakuten Saiban: Sono ""Shinjitsu"", Igi Ari! Season 2";37490;TV;fall;2018;;6;2;"Djidji;Djidji;"
Strike Witches 2;6381;TV;summer;2010;;6;1;"DrNock;"
Beelzebub-jou no Okinimesu mama.;37716;TV;fall;2018;;6;1;"Djidji;"
Yojouhan Shinwa Taikei Specials;8985;Special;summer;2010;;6;6;"DrNock;DrNock;leejongki;leejongki;Yokanime;Yokanime;"
Youchien Senshi: Hanamaru Girls;16648;Special;summer;2010;;6;1;"DrNock;"
Angel Beats! Specials;9062;Special;fall;2010;;6;8;"DrNock;DrNock;leejongki;leejongki;Yokanime;Yokanime;SaberXTohsaka;SaberXTohsaka;"
Angel Beats!: Another Epilogue;10067;Special;fall;2010;8;6;3;"DrNock;leejongki;SaberXTohsaka;"
Anima Yell! Ouen Douga;38803;ONA;fall;2018;;6;1;"Djidji;"
Wei, Kanjian Erduo La!;38217;ONA;summer;2018;;6;1;"Djidji;"
Tsukumogami Kashimasu;36654;TV;summer;2018;;6;1;"Djidji;"
Sirius;37569;TV;summer;2018;;6;2;"Djidji;DrNock;"
Grimms Notes The Animation;37154;TV;winter;2019;;6;1;"Djidji;"
Revisions;37436;TV;winter;2019;;6;1;"Djidji;"
Ueno-san wa Bukiyou;37920;TV;winter;2019;;6;2;"Djidji;DrNock;"
One Punch Man 2nd Season;34134;TV;spring;2019;7;6;3;"Djidji;leejongki;Steins02;"
True Tears Epilogue;8230;Music;winter;2010;;6;1;"DrNock;"
Kawaikereba Hentai demo Suki ni Natte Kuremasu ka?;39326;TV;summer;2019;;6;1;"Djidji;"
Uchuu Show e Youkoso;8115;Movie;winter;2010;;6;2;"DrNock;leejongki;"
Yatogame-chan Kansatsu Nikki;37940;TV;spring;2019;;6;1;"Djidji;"
Sewayaki Kitsune no Senko-san;38759;TV;spring;2019;8;6;2;"Djidji;DrNock;"
RobiHachi;38707;TV;spring;2019;;6;1;"Djidji;"
Poputepipikku TV Special;37596;Special;spring;2019;;6;2;"Djidji;leejongki;"
Midara na Ao-chan wa Benkyou ga Dekinai;38778;TV;spring;2019;;6;1;"Djidji;"
Tengen Toppa Gurren Lagann: Parallel Works 2;8348;Music;spring;2010;;6;1;"DrNock;"
GA: Geijutsuka Art Design Class: Aozora ga Kakitai;6959;OVA;spring;2010;;6;1;"DrNock;"
Phi Brain: Kami no Puzzle - Orpheus Order-hen;12753;TV;spring;2012;;6;4;"Djidji;Djidji;Steins02;Steins02;"
Hangyakusei Million Arthur 2nd Season;38268;TV;spring;2019;;6;1;"Djidji;"
Nodame Cantabile: Finale - Mine to Kiyora no Saikai;8038;Special;spring;2010;;6;1;"DrNock;"
Nodame Cantabile: Finale OVA;8190;OVA;spring;2010;;6;1;"DrNock;"
Senkou no Night Raid: Yogen;8840;Special;spring;2010;;6;2;"DrNock;Zccdcccc;"
Gunjou no Magmell;37806;TV;spring;2019;;6;1;"Djidji;"
Kuromukuro;32245;TV;spring;2016;;6;4;"Djidji;Djidji;DrNock;DrNock;"
Sword Art Online: Alicization - War of Underworld 2nd Season;40540;TV;summer;2020;;6;4;"Djidji;DrNock;leejongki;Yokanime;"
Kyou no Asuka Show;15005;ONA;summer;2012;;6;1;"DrNock;"
Shingeki! Kyojin Chuugakkou;31374;TV;fall;2015;;6;2;"Djidji;leejongki;"
Ushinawareta Mirai wo Motomete;21845;TV;fall;2014;6;6;1;"Djidji;"
Heavy Object;27829;TV;fall;2015;;6;6;"Djidji;Djidji;DrNock;DrNock;Yokanime;Yokanime;"
Momokuri;30014;ONA;fall;2015;;6;4;"Djidji;Djidji;DrNock;DrNock;"
"Tiger &amp; Bunny Movie 1: The Beginning";12015;Movie;summer;2012;;6;1;"DrNock;"
Osomatsu-san;31174;TV;fall;2015;;6;4;"Djidji;Djidji;Yokanime;Yokanime;"
Rakuen Tsuihou;13391;Movie;fall;2014;;6;5;"Djidji;DrNock;Yokanime;Zccdcccc;Steins02;"
Chuunibyou demo Koi ga Shitai!: Depth of Field - Ai to Nikushimi Gekijou;15879;Special;fall;2012;;6;3;"DrNock;Yokanime;Steins02;"
Fuse: Teppou Musume no Torimonochou;13335;Movie;fall;2012;;6;1;"DrNock;"
Haiyore! Nyaruko-san: Yasashii Teki no Shitome-kata;18713;OVA;fall;2012;;6;2;"DrNock;SaberXTohsaka;"
Danshi Koukousei no Nichijou Specials;12893;Special;spring;2012;;6;2;"DrNock;leejongki;"
To LOVE-Ru Darkness;13663;TV;fall;2012;;6;3;"DrNock;Yokanime;SaberXTohsaka;"
Imawa no Kuni no Alice (OVA);24781;OVA;fall;2014;;6;4;"Djidji;Djidji;sazabiron;sazabiron;"
Grisaia no Kajitsu;17729;TV;fall;2014;3;6;4;"Djidji;DrNock;Yokanime;SaberXTohsaka;"
Jinrui wa Suitai Shimashita: Ningen-san no, Yousei-san Memo;16101;ONA;fall;2012;;6;1;"DrNock;"
Tantei Team KZ Jiken Note;31221;TV;fall;2015;;6;1;"Djidji;"
Thermae Romae;12321;TV;winter;2012;;6;3;"DrNock;leejongki;Steins02;"
Cross Ange: Tenshi to Ryuu no Rondo;25731;TV;fall;2014;;6;6;"Djidji;Djidji;Yokanime;Yokanime;Zccdcccc;Zccdcccc;"
Oniichan dakedo Ai sae Areba Kankeinai yo ne!;14199;TV;fall;2012;;6;2;"DrNock;SaberXTohsaka;"
Young Black Jack;30740;TV;fall;2015;8;6;2;"Djidji;Zccdcccc;"
Strike Witches Movie;9751;Movie;winter;2012;;6;2;"DrNock;Yokanime;"
Death Parade;28223;TV;winter;2015;6;6;3;"Djidji;DrNock;Yokanime;"
Seiken Tsukai no World Break;22663;TV;winter;2015;;6;3;"Djidji;Yokanime;SaberXTohsaka;"
Shinmai Maou no Testament;23233;TV;winter;2015;;6;3;"Djidji;Yokanime;SaberXTohsaka;"
Rinne no Lagrange: Kamogawa Days;13727;OVA;spring;2012;;6;2;"DrNock;Yokanime;"
Aoharu x Kikanjuu;30205;TV;summer;2015;6;6;2;"Djidji;Zccdcccc;"
Gangsta.;25183;TV;summer;2015;8;6;3;"Djidji;Zccdcccc;sazabiron;"
Teekyuu 4;26395;TV;spring;2015;;6;3;"Djidji;DrNock;leejongki;"
Takamiya Nasuno Desu!: Teekyuu Spin-off;28861;TV;spring;2015;;6;2;"Djidji;DrNock;"
Guskou Budori no Denki (2012);13215;Movie;summer;2012;;6;1;"DrNock;"
Date A Live;15583;TV;spring;2013;7;6;7;"Djidji;DrNock;Yokanime;Zccdcccc;Steins02;SaberXTohsaka;sazabiron;"
Koi to Senkyo to Chocolate;12175;TV;summer;2012;;6;3;"DrNock;Yokanime;Steins02;"
Nagato Yuki-chan no Shoushitsu;26351;TV;spring;2015;;6;3;"Djidji;Yokanime;sazabiron;"
Teekyuu 5;30567;TV;summer;2015;;6;3;"Djidji;DrNock;leejongki;"
Haiyore! Nyaruko-san F;26023;OVA;spring;2015;;6;3;"Djidji;DrNock;SaberXTohsaka;"
Wakaba*Girl;30355;TV;summer;2015;;6;3;"Djidji;DrNock;leejongki;"
Digimon Adventure tri. 1: Saikai;25687;Movie;fall;2015;;6;4;"Djidji;leejongki;Yokanime;Zccdcccc;"
Gakusen Toshi Asterisk;30544;TV;fall;2015;;6;2;"Djidji;Yokanime;"
Natsu-iro Kiseki: 15-kaime no Natsuyasumi;15431;OVA;summer;2012;;6;2;"DrNock;Zccdcccc;"
Etotama;28221;TV;spring;2015;;6;2;"Djidji;DrNock;"
One Off;13283;OVA;summer;2012;;6;1;"DrNock;"
