title;MAL_id;type;release-season;release-year;crazy-gump score;friends_mean_score;nb_who_watched_it;friend_who_watched_it
Made in Abyss Movie 3: Fukaki Tamashii no Reimei;36862;Movie;winter;2020;;8;3;"Djidji;Yokanime;Zccdcccc;"
Kanojo mo Kanojo;43969;TV;summer;2021;5;8;1;"Djidji;"
Youjo Senki: Sabaku no Pasta Daisakusen;49236;ONA;spring;2021;;8;1;"Djidji;"
Yahari Ore no Seishun Love Comedy wa Machigatteiru.;14813;TV;spring;2013;7;8;7;"Djidji;DrNock;Yokanime;Zccdcccc;Steins02;SaberXTohsaka;sazabiron;"
Shadows House;43439;TV;spring;2021;8;8;2;"Djidji;DrNock;"
Uma Musume: Pretty Derby (TV) Season 2;42941;TV;winter;2021;7;8;3;"Djidji;DrNock;Yokanime;"
Shingeki no Kyojin: The Final Season;40028;TV;winter;2021;8;8;2;"Djidji;leejongki;"
Fate/Grand Carnival;44248;OVA;fall;2020;;8;2;"Djidji;Yokanime;"
Deca-Dence;40056;TV;summer;2020;8;8;4;"Djidji;DrNock;Yokanime;Zccdcccc;"
Isekai Quartet 2;39988;TV;winter;2020;;8;1;"Djidji;"
Nodame Cantabile: Finale;5690;TV;winter;2010;;8;5;"DrNock;Yokanime;Zccdcccc;Steins02;SaberXTohsaka;"
Wu Liuqi Zhi Zui Qiang Fa Xing Shi;40784;ONA;fall;2019;;8;1;"Djidji;"
Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen;39468;TV;fall;2019;7;8;4;"Djidji;Yokanime;Zccdcccc;Steins02;"
Chihayafuru 3;37379;TV;fall;2019;;8;4;"Djidji;Djidji;Yokanime;Yokanime;"
Bokutachi wa Benkyou ga Dekinai!;40004;TV;fall;2019;6;8;1;"Djidji;"
Black Fox;37498;Movie;fall;2019;;8;2;"Djidji;Yokanime;"
Ani ni Tsukeru Kusuri wa Nai! 3;39959;TV;fall;2019;;8;1;"Djidji;"
Mo Dao Zu Shi: Xian Yun Pian;38450;ONA;summer;2019;;8;1;"Djidji;"
Majimoji Rurumo: Kanketsu-hen;38357;OVA;summer;2019;;8;1;"Djidji;"
Tsuki ga Michibiku Isekai Douchuu;43523;TV;summer;2021;7;8;1;"Djidji;"
Moshidora;9693;TV;spring;2011;;8;2;"DrNock;Yokanime;"
Kekkai Sensen: Soresaemo Saitei de Saikou na Hibi;30915;Special;spring;2015;;8;1;"Yokanime;"
Kakushigoto;33455;ONA;spring;2016;;8;1;"DrNock;"
Garo: Honoo no Kokuin;23311;TV;fall;2014;8;8;4;"Yokanime;Yokanime;Zccdcccc;Zccdcccc;"
White Album 2 Picture Drama;28227;Special;spring;2014;;8;1;"Yokanime;"
Kara no Kyoukai Movie: Mirai Fukuin;14807;Movie;summer;2013;;8;3;"Yokanime;Zccdcccc;Steins02;"
Carnival Phantasm: HibiChika Special;15927;Special;summer;2012;;8;2;"Yokanime;SaberXTohsaka;"
Uchuu Kyoudai;12431;TV;spring;2012;;8;16;"Yokanime;Yokanime;Yokanime;Yokanime;Yokanime;Yokanime;Yokanime;Yokanime;sazabiron;sazabiron;sazabiron;sazabiron;sazabiron;sazabiron;sazabiron;sazabiron;"
Carnival Phantasm EX Season;12187;OVA;fall;2011;;8;2;"Yokanime;SaberXTohsaka;"
Bessatsu Olympia Kyklos;41266;TV;spring;2020;6;8;3;"DrNock;DrNock;DrNock;"
Hakumei no Tsubasa;40861;ONA;winter;2020;;8;6;"DrNock;DrNock;DrNock;Yokanime;Yokanime;Yokanime;"
"Steins;Gate: Kyoukaimenjou no Missing Link - Divide By Zero";32188;Special;fall;2015;;8;1;"DrNock;"
K-On! Movie;9617;Movie;fall;2011;;8;4;"DrNock;Zccdcccc;Steins02;sazabiron;"
"Girls &amp; Panzer Movie";18617;Movie;fall;2015;;8;2;"DrNock;Yokanime;"
Aria the Avvenire;29893;Special;summer;2015;;8;4;"DrNock;DrNock;DrNock;DrNock;"
Aikatsu! Movie;22819;Movie;fall;2014;;8;2;"DrNock;Yokanime;"
Sankarea: Wagahai mo... Zombie de Aru...;16694;Special;fall;2012;;8;2;"DrNock;sazabiron;"
Aikatsu!;15061;TV;fall;2012;;8;28;"DrNock;DrNock;DrNock;DrNock;DrNock;DrNock;DrNock;DrNock;DrNock;DrNock;DrNock;DrNock;DrNock;DrNock;Yokanime;Yokanime;Yokanime;Yokanime;Yokanime;Yokanime;Yokanime;Yokanime;Yokanime;Yokanime;Yokanime;Yokanime;Yokanime;Yokanime;"
Toshokan Sensou: Kakumei no Tsubasa;11001;Movie;spring;2012;;8;3;"DrNock;Zccdcccc;Steins02;"
Mouretsu Pirates;8917;TV;winter;2012;;8;4;"DrNock;DrNock;Yokanime;Yokanime;"
Ano Natsu de Matteru;11433;TV;winter;2012;;8;3;"DrNock;Yokanime;Steins02;"
