title,MAL_id,type,release-season,release-year,yokanime score,friends_mean_score,nb_who_watched_it,friend_who_watched_it
Kino no Tabi: The Beautiful World - The Animated Series,35079.0,TV,fall,2017.0,6,6.4,20.0,DrNock;Apey_;Kmeuh;NooBenjy;Mathxxl;Noctis_Solaith;RdNetwork;Hakey;crazy-gump;Nodamin;DrNock;Apey_;Kmeuh;NooBenjy;Mathxxl;Noctis_Solaith;RdNetwork;Hakey;crazy-gump;Nodamin;
Peaceful Times (F02) Petit Film,23023.0,Music,fall,2013.0,,6.4,10.0,ange_bleu;Aeden;Apey_;Kmeuh;Nodamin;ange_bleu;Aeden;Apey_;Kmeuh;Nodamin;
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka III,40454.0,TV,fall,2020.0,5,6.4,10.0,DrNock;Mathxxl;Noctis_Solaith;Keisuka_Watsushi;shanoliu;DrNock;Mathxxl;Noctis_Solaith;Keisuka_Watsushi;shanoliu;
Akame ga Kill!,22199.0,TV,summer,2014.0,6,6.4,40.0,ange_bleu;ange_bleu;NooBenjy;NooBenjy;Mathxxl;Mathxxl;Noctis_Solaith;Noctis_Solaith;Keisuka_Watsushi;Keisuka_Watsushi;PiscesAmo;PiscesAmo;RdNetwork;RdNetwork;shanoliu;shanoliu;OoCaradryanoO;OoCaradryanoO;crazy-gump;crazy-gump;ange_bleu;ange_bleu;NooBenjy;NooBenjy;Mathxxl;Mathxxl;Noctis_Solaith;Noctis_Solaith;Keisuka_Watsushi;Keisuka_Watsushi;PiscesAmo;PiscesAmo;RdNetwork;RdNetwork;shanoliu;shanoliu;OoCaradryanoO;OoCaradryanoO;crazy-gump;crazy-gump;
Amaenaide yo!! Katsu!!,886.0,TV,winter,2006.0,,6.4,10.0,Noctis_Solaith;shanoliu;OoCaradryanoO;Coincoin_DuK;Fskng;Noctis_Solaith;shanoliu;OoCaradryanoO;Coincoin_DuK;Fskng;
Queens Blade: Utsukushiki Toushi-tachi,8456.0,OVA,summer,2010.0,,6.4,10.0,Apey_;Keisuka_Watsushi;malcmojo;Araya;Coincoin_DuK;Apey_;Keisuka_Watsushi;malcmojo;Araya;Coincoin_DuK;
Allison to Lillia,3549.0,TV,spring,2008.0,,6.4,20.0,DrNock;DrNock;NooBenjy;NooBenjy;Noctis_Solaith;Noctis_Solaith;crazy-gump;crazy-gump;Tinky;Tinky;DrNock;DrNock;NooBenjy;NooBenjy;Noctis_Solaith;Noctis_Solaith;crazy-gump;crazy-gump;Tinky;Tinky;
Ginga Tetsudou 999: Eternal Fantasy,3602.0,Movie,winter,1998.0,,6.4,10.0,DrNock;Kmeuh;Exelen;Noctis_Solaith;Aeryst;DrNock;Kmeuh;Exelen;Noctis_Solaith;Aeryst;
Classroom☆Crisis,30383.0,TV,summer,2015.0,8,6.4,20.0,Aeden;DrNock;NooBenjy;Luttii;Noctis_Solaith;PiscesAmo;RdNetwork;kohaque;Tinky;Fskng;Aeden;DrNock;NooBenjy;Luttii;Noctis_Solaith;PiscesAmo;RdNetwork;kohaque;Tinky;Fskng;
Super Danganronpa 2.5: Komaeda Nagito to Sekai no Hakaimono,34152.0,OVA,winter,2017.0,,6.4,10.0,DrNock;Apey_;Luttii;Araya;Nodamin;DrNock;Apey_;Luttii;Araya;Nodamin;
Slow Loop,45425.0,TV,winter,2022.0,7,6.4,10.0,DrNock;Apey_;NooBenjy;Luttii;Keisuka_Watsushi;DrNock;Apey_;NooBenjy;Luttii;Keisuka_Watsushi;
Tsuyokiss,1198.0,TV,summer,2006.0,,6.4,5.0,malcmojo;shanoliu;malcmojo;shanoliu;Baka-saru;
Gift: Eternal Rainbow,1581.0,TV,fall,2006.0,,6.4,10.0,NooBenjy;shanoliu;sylfer;Aeryst;Fskng;NooBenjy;shanoliu;sylfer;Aeryst;Fskng;
Animation Seisaku Shinkou Kuromi-chan,1797.0,OVA,winter,2001.0,,6.4,5.0,DrNock;kohaque;DrNock;kohaque;Baka-saru;
Black★Rock Shooter,12079.0,Music,spring,2008.0,,6.4,20.0,ange_bleu;Aeden;DrNock;Apey_;Noctis_Solaith;Keisuka_Watsushi;Araya;Nodamin;Aeryst;ange_bleu;Aeden;DrNock;Apey_;Noctis_Solaith;Keisuka_Watsushi;Araya;Nodamin;Aeryst;AudreyAzura;DL21;
Kick-Heart,16149.0,Movie,spring,2013.0,7,6.4,10.0,Aeden;Apey_;Keisuka_Watsushi;Araya;Tinky;Aeden;Apey_;Keisuka_Watsushi;Araya;Tinky;
Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta... X,42282.0,TV,summer,2021.0,5,6.4,10.0,Aeden;Apey_;Noctis_Solaith;Keisuka_Watsushi;crazy-gump;Aeden;Apey_;Noctis_Solaith;Keisuka_Watsushi;crazy-gump;
