,title,MAL_id,type,studio,release-season,release-year,realase-date,source-material,episodes
8433,Code Geass: Hangyaku no Lelouch R2,2904,TV (Continuing),Sunrise,summer,2008.0,2008-04-06 17:00:00,Original,25.0
8434,Soul Eater,3588,TV (Continuing),Bones,summer,2008.0,2008-04-07 18:00:00,Manga,51.0
8435,Gintama,918,TV (Continuing),Sunrise,summer,2008.0,2006-04-04 18:00:00,Manga,201.0
8436,D.Gray-man,1482,TV (Continuing),TMS Entertainment,summer,2008.0,2006-10-03 18:00:00,Manga,103.0
8437,To LOVE-Ru,3455,TV (Continuing),Xebec,summer,2008.0,2008-04-04 00:00:00,Manga,26.0
8438,Katekyo Hitman Reborn!,1604,TV (Continuing),Artland,summer,2008.0,2006-10-07 10:30:00,Manga,203.0
8439,Special A,3470,TV (Continuing),"AIC, Gonzo",summer,2008.0,2008-04-07 01:30:00,Manga,24.0
8440,Detective Conan,235,TV (Continuing),TMS Entertainment,summer,2008.0,1996-01-08 18:00:00,Manga,0.0
8441,Itazura na Kiss,3731,TV (Continuing),TMS Entertainment,summer,2008.0,2008-04-05 02:25:00,Manga,25.0
8442,Shugo Chara!,2923,TV (Continuing),Satelight,summer,2008.0,2007-10-06 00:00:00,Manga,51.0
8443,Nabari no Ou,3655,TV (Continuing),J.C.Staff,summer,2008.0,2008-04-07 00:00:00,Manga,26.0
8444,Macross F,3572,TV (Continuing),Satelight,summer,2008.0,2008-04-04 01:25:00,Original,25.0
8445,Yu☆Gi☆Oh! 5D's,3972,TV (Continuing),Gallop,summer,2008.0,2008-04-02 18:00:00,Manga,154.0
8446,Blassreiter,3407,TV (Continuing),Gonzo,summer,2008.0,2008-04-06 00:00:00,Original,24.0
8447,Keroro Gunsou,516,TV (Continuing),Sunrise,summer,2008.0,2004-04-03 00:00:00,Manga,358.0
8448,Crayon Shin-chan,966,TV (Continuing),Shin-Ei Animation,summer,2008.0,1992-04-13 19:30:00,Manga,0.0
8449,Chi's Sweet Home,3841,TV (Continuing),Madhouse,summer,2008.0,2008-03-31 06:40:00,Manga,104.0
8450,Monochrome Factor,3656,TV (Continuing),A.C.G.T.,summer,2008.0,2008-04-08 00:00:00,Manga,24.0
8451,Zettai Karen Children,4038,TV (Continuing),SynergySP,summer,2008.0,2008-04-06 00:00:00,Manga,51.0
8452,Allison to Lillia,3549,TV (Continuing),Madhouse,summer,2008.0,2008-04-03 00:00:00,Light novel,26.0
8453,Golgo 13 (TV),4039,TV (Continuing),The Answer Studio,summer,2008.0,2008-04-12 00:00:00,Manga,50.0
8454,Nijuu Mensou no Musume,3673,TV (Continuing),"Bones, Telecom Animation Film",summer,2008.0,2008-04-13 00:00:00,Manga,22.0
8455,Wagaya no Oinari-sama.,3322,TV (Continuing),Zexcs,summer,2008.0,2008-04-07 00:00:00,Light novel,24.0
8456,Kyou kara Maou! 3rd Series,4080,TV (Continuing),Studio Deen,summer,2008.0,2008-04-03 00:00:00,Light novel,39.0
8457,Wangan Midnight,2608,TV (Continuing),A.C.G.T.,summer,2008.0,2007-06-15 00:00:00,Manga,26.0
8458,Kyouran Kazoku Nikki,3577,TV (Continuing),Nomad,summer,2008.0,2008-04-12 00:00:00,Light novel,26.0
8459,Kirarin☆Revolution,1516,TV (Continuing),SynergySP,summer,2008.0,2006-04-07 18:00:00,Manga,153.0
8460,RD Sennou Chousashitsu,3363,TV (Continuing),Production I.G,summer,2008.0,2008-04-09 00:59:00,Original,26.0
8461,Top Secret: The Revelation,3859,TV (Continuing),Madhouse,summer,2008.0,2008-04-09 00:00:00,Manga,26.0
8462,Blue Dragon: Tenkai no Shichi Ryuu,4197,TV (Continuing),Studio Pierrot,summer,2008.0,2008-04-05 00:00:00,Game,51.0
8463,Yes! Precure 5 GoGo!,3692,TV (Continuing),Toei Animation,summer,2008.0,2008-02-03 08:30:00,Original,48.0
8464,Sazae-san,2406,TV (Continuing),Eiken,summer,2008.0,1969-10-05 18:30:00,4-koma manga,0.0
8465,Gegege no Kitarou (2007),2165,TV (Continuing),Toei Animation,summer,2008.0,2007-04-01 09:00:00,Manga,100.0
8466,Yatterman,3295,TV (Continuing),Tatsunoko Production,summer,2008.0,2008-01-14 00:00:00,-,60.0
8467,Atashin'chi,3006,TV (Continuing),Shin-Ei Animation,summer,2008.0,2002-04-19 11:20:00,Manga,330.0
8468,Duel Masters Cross,10527,TV (Continuing),          -,summer,2008.0,2008-04-05 00:00:00,Original,100.0
8469,Onegai♪My Melody Kirara★,5938,TV (Continuing),Studio Comet,summer,2008.0,2008-04-06 09:30:00,-,52.0
8470,Oyako Club,12393,TV (Continuing),Eiken,summer,2008.0,1994-10-03 00:00:00,Original,1818.0
8471,Uchi no 3 Shimai,3975,TV (Continuing),"Daewon Media, Toei Animation",summer,2008.0,2008-04-08 00:00:00,Other,102.0
8472,Little Charo,13177,TV (Continuing),          -,summer,2008.0,2008-04-02 19:45:00,Original,50.0
8473,Hoshi Shinichi Short Short,8191,TV (Continuing),Echoes,summer,2008.0,2007-11-11 00:00:00,Book,26.0
8474,Oden-kun,9070,TV (Continuing),          -,summer,2008.0,2005-08-04 00:00:00,Picture book,156.0
8475,"Yume Miru, Anime: on-chan",3500,TV (Continuing),          -,summer,2008.0,2008-01-18 00:00:00,-,26.0
8476,Kaden Manzai John TV Show!,29746,TV (Continuing),          -,summer,2008.0,2008-04-06 00:00:00,-,25.0
8477,Tatakae! Dokan-kun: Robolympic-hen,38570,TV (Continuing),DLE,summer,2008.0,2008-04-05 00:00:00,Original,13.0
8478,Fuwa no go renkan,40273,TV (Continuing),          -,summer,2008.0,2007-10-01 00:00:00,Original,54.0
8479,Eve no Jikan,3167,ONA,Studio Rikka,summer,2008.0,2008-08-01 00:00:00,Original,6.0
8480,Bounen no Xamdou,4177,ONA,Bones,summer,2008.0,2008-07-15 00:00:00,Original,26.0
8481,Candy Boy: Nonchalant Talk of the Certain Twin Sisters in Daily Life,4535,ONA,AIC,summer,2008.0,2008-05-02 00:00:00,Original,7.0
8482,Macross 25th Anniversary: All That VF Macross F Version,5165,ONA,          -,summer,2008.0,,-,1.0
8483,Macross 25th Anniversary: All That VF Macross Zero Version,5164,ONA,          -,summer,2008.0,2008-07-25 00:00:00,-,1.0
8484,Detroit Metal City,3702,OVA,Studio 4°C,summer,2008.0,2008-08-08 00:00:00,Manga,12.0
8485,Lucky☆Star: Original na Visual to Animation,4472,OVA,Kyoto Animation,summer,2008.0,2008-09-26 00:00:00,4-koma manga,1.0
8486,School Rumble San Gakki,4015,OVA,Studio Comet,summer,2008.0,2008-07-17 00:00:00,Manga,2.0
8487,Mahou Sensei Negima!: Shiroki Tsubasa Ala Alba,4188,OVA,Shaft,summer,2008.0,2008-08-12 00:00:00,Manga,3.0
8488,Batman: Gotham Knight,4094,OVA,"Bee Train, Madhouse, Production I.G, Studio 4°C",summer,2008.0,2008-07-08 00:00:00,Other,6.0
8489,Candy Boy Episode: EX01 - Mirai Yohouzu,5116,OVA,AIC,summer,2008.0,2008-08-13 00:00:00,Original,1.0
8490,Bleach KaraBuri!: Gotei Juusan Yatai Daisakusen!,35118,OVA,Studio Pierrot,summer,2008.0,2008-09-21 00:00:00,Manga,1.0
8491,Ranma ½: Akumu! Shunmin Kou,5493,OVA,"Studio Deen, Sunrise",summer,2008.0,2008-07-31 00:00:00,Manga,1.0
8492,Kodomo no Jikan Recap,4786,OVA,Diomedéa,summer,2008.0,2008-07-11 00:00:00,Manga,1.0
8493,Quiz Magic Academy: The Original Animation,5080,OVA,AIC PLUS+,summer,2008.0,2008-09-12 00:00:00,Game,1.0
8494,Kaitou Tenshi Twin Angel,3805,OVA,Nomad,summer,2008.0,2008-08-08 00:00:00,Game,2.0
8495,Toshi Densetsu Monogatari Hikiko,6809,OVA,          -,summer,2008.0,2008-08-08 00:00:00,Original,1.0
8496,Cobra The Animation: The Psycho-Gun,4646,OVA,Magic Bus,summer,2008.0,2008-08-29 00:00:00,Manga,4.0
8497,Mushrambo (2008),4961,OVA,Toei Animation,summer,2008.0,2008-09-21 00:00:00,-,2.0
8498,Ganbare! Memeko-chan,38354,OVA,Studio Moriken,summer,2008.0,2008-08-19 00:00:00,4-koma manga,1.0
8499,Gake no Ue no Ponyo,2890,Movie,Studio Ghibli,summer,2008.0,2008-07-19 00:00:00,Original,1.0
8500,Naruto: Shippuuden Movie 2 - Kizuna,4437,Movie,Studio Pierrot,summer,2008.0,2008-08-02 00:00:00,Manga,1.0
8501,Kara no Kyoukai 5: Mujun Rasen,4282,Movie,ufotable,summer,2008.0,2008-08-16 00:00:00,Light novel,1.0
8502,Tengen Toppa Gurren Lagann Movie 1: Gurren-hen,4107,Movie,Gainax,summer,2008.0,2008-09-06 00:00:00,Original,1.0
8503,Koukaku Kidoutai 2.0,4672,Movie,Production I.G,summer,2008.0,2008-07-12 00:00:00,Manga,1.0
8504,The Sky Crawlers,3089,Movie,Production I.G,summer,2008.0,2008-08-02 00:00:00,Novel,1.0
8505,Feng Yun Jue,5496,Movie,          -,summer,2008.0,2008-07-19 00:00:00,-,1.0
8506,Gegege no Kitarou: Youkai Japan Rally 3D,28103,Movie,Toei Animation,summer,2008.0,2008-07-12 00:00:00,-,1.0
8507,Tokyo Onlypic,33533,Movie,Echoes,summer,2008.0,2008-08-08 00:00:00,Original,1.0
8508,RE:Map,34113,Movie,          -,summer,2008.0,2008-08-29 00:00:00,Original,1.0
8509,"Clannad: Mou Hitotsu no Sekai, Tomoyo-hen",4059,Special,Kyoto Animation,summer,2008.0,2008-07-16 00:00:00,Visual novel,1.0
8510,Gintama: Shiroyasha Koutan,6945,Special,Sunrise,summer,2008.0,2008-09-21 00:00:00,Manga,1.0
8511,Dragon Ball: Ossu! Kaettekita Son Gokuu to Nakama-tachi!!,5152,Special,Toei Animation,summer,2008.0,2008-09-21 00:00:00,Manga,1.0
8512,Zero no Tsukaima: Princesses no Rondo Picture Drama,6489,Special,J.C.Staff,summer,2008.0,2008-09-25 00:00:00,Light novel,7.0
8513,Code Geass: Hangyaku no Lelouch R2 Picture Drama,5163,Special,Sunrise,summer,2008.0,2008-08-22 00:00:00,Original,9.0
8514,InuYasha: Kuroi Tessaiga,4886,Special,Sunrise,summer,2008.0,2008-07-30 00:00:00,-,1.0
8515,Detroit Metal City: Birth of the Metal Devil,5065,Special,Studio 4°C,summer,2008.0,2008-07-11 00:00:00,Manga,1.0
8516,Ikkitousen: Great Guardians Specials,5333,Special,Arms,summer,2008.0,2008-09-30 00:00:00,-,6.0
8517,Shigofumi: Sore kara,4715,Special,J.C.Staff,summer,2008.0,2008-09-26 00:00:00,Original,1.0
8518,Code Geass: Hangyaku no Lelouch R2 Omake Flash,9591,Special,"Bandai Visual, Sunrise",summer,2008.0,2008-08-22 00:00:00,Original,9.0
8519,ef: A Tale of Memories. - Recollections,6783,Special,Shaft,summer,2008.0,2008-09-26 00:00:00,Visual novel,1.0
8520,KimiKiss Pure Rouge: Love Fighter,4205,Special,J.C.Staff,summer,2008.0,2008-08-22 00:00:00,Visual novel,1.0
8521,Sayonara Zetsubou Sensei Jo: Zoku Zetsubou Shoujo Senshuu,8317,Special,Shaft,summer,2008.0,2008-08-27 00:00:00,Manga,1.0
8522,Dragonaut: The Resonance - Kotou - Tozasareta Kyousoo,5072,Special,Gonzo,summer,2008.0,2008-09-24 00:00:00,Original,1.0
8523,Yu☆Gi☆Oh! 5D's: Shinkasuru Kettou! Stardust vs. Red Demon's,5298,Special,          -,summer,2008.0,2008-09-21 00:00:00,Manga,1.0
8524,Seto no Hanayome Fan Disc,5199,Special,Gonzo,summer,2008.0,,Manga,2.0
8525,Mobile Suit Gundam 00: Tenshitachi no Kiseki,5351,Special,Sunrise,summer,2008.0,2008-09-25 00:00:00,-,1.0
8526,Tales of Symphonia The Animation: Kaette Kita Kratos-sensei no Private Lesson,8908,Special,ufotable,summer,2008.0,2008-09-26 00:00:00,Game,1.0
8527,Lupin III: Sweet Lost Night - Mahou no Lamp wa Akumu no Yokan,5019,Special,TMS Entertainment,summer,2008.0,2008-07-25 00:00:00,-,1.0
8528,It's a Rumic World: 50th Anniversary Weekly★Shonen Sunday,6566,Special,          -,summer,2008.0,2008-07-30 00:00:00,-,1.0
8529,Penguin Musume♥Heart Special,5056,Special,          -,summer,2008.0,2008-08-01 00:00:00,Manga,1.0
8530,Wagaya no Oinari-sama.: Kuu-chan no Omake Gekijou,5484,Special,          -,summer,2008.0,2008-07-25 00:00:00,-,12.0
8531,Taiho Shichau zo: Full Throttle - Watashitachi no Iru Basho,6312,Special,Studio Deen,summer,2008.0,2008-08-22 00:00:00,Manga,1.0
8532,Takane no Jitensha,4685,Special,A-1 Pictures,summer,2008.0,2008-07-06 00:00:00,-,1.0
8533,Kiku-chan to Ookami,5192,Special,Shin-Ei Animation,summer,2008.0,2008-08-13 00:00:00,-,1.0
8534,Toradora!,4224,TV (New),J.C.Staff,fall,2008.0,2008-10-02 01:20:00,Light novel,25.0
8535,Clannad: After Story,4181,TV (New),Kyoto Animation,fall,2008.0,2008-10-03 01:59:00,Visual novel,24.0
8536,Kuroshitsuji,4898,TV (New),A-1 Pictures,fall,2008.0,2008-10-03 00:00:00,Manga,24.0
8537,Toaru Majutsu no Index,4654,TV (New),J.C.Staff,fall,2008.0,2008-10-05 01:35:00,Light novel,24.0
8538,Rosario to Vampire Capu2,4214,TV (New),Gonzo,fall,2008.0,2008-10-02 02:25:00,Manga,13.0
8539,Vampire Knight: Guilty,4752,TV (New),Studio Deen,fall,2008.0,2008-10-07 00:00:00,Manga,13.0
8540,ChäoS;HEAd,4975,TV (New),Madhouse,fall,2008.0,2008-10-09 00:00:00,Visual novel,12.0
8541,Skip Beat!,4722,TV (New),Hal Film Maker,fall,2008.0,2008-10-06 02:00:00,Manga,25.0
8542,Ga-Rei: Zero,4725,TV (New),"AIC Spirits, Asread",fall,2008.0,2008-10-06 00:00:00,Manga,12.0
8543,One Outs,5040,TV (New),Madhouse,fall,2008.0,2008-10-08 00:00:00,Manga,25.0
8544,Michiko to Hatchin,4087,TV (New),Manglobe,fall,2008.0,2008-10-16 00:00:00,Original,22.0
8545,Junjou Romantica 2,4814,TV (New),Studio Deen,fall,2008.0,2008-10-12 00:00:00,Manga,12.0
8546,ef: A Tale of Melodies.,4789,TV (New),Shaft,fall,2008.0,2008-10-07 01:15:00,Visual novel,12.0
8547,Inazuma Eleven,5231,TV (New),OLM,fall,2008.0,2008-10-05 00:00:00,Game,127.0
8548,Kannagi,3958,TV (New),"A-1 Pictures, Ordet",fall,2008.0,2008-10-04 22:30:00,Manga,13.0
8549,Casshern Sins,4981,TV (New),"Madhouse, Tatsunoko Production",fall,2008.0,2008-10-02 00:00:00,Other,24.0
8550,Akaneiro ni Somaru Saka,4744,TV (New),TNK,fall,2008.0,2008-10-03 00:00:00,Visual novel,12.0
8551,Mobile Suit Gundam 00 Second Season,3927,TV (New),Sunrise,fall,2008.0,2008-10-05 00:00:00,Original,25.0
8552,Yozakura Quartet,4548,TV (New),Nomad,fall,2008.0,2008-10-03 00:00:00,Manga,12.0
8553,Tales of the Abyss,4884,TV (New),Sunrise,fall,2008.0,2008-10-03 00:00:00,Game,26.0
8554,Nodame Cantabile: Paris-hen,4477,TV (New),J.C.Staff,fall,2008.0,2008-10-10 00:45:00,Manga,11.0
8555,Shikabane Hime: Aka,4581,TV (New),"feel., Gainax",fall,2008.0,2008-10-02 00:00:00,Manga,13.0
8556,Hakushaku to Yousei,4551,TV (New),Artland,fall,2008.0,2008-09-29 00:00:00,Light novel,12.0
8557,Jigoku Shoujo Mitsuganae,3713,TV (New),Studio Deen,fall,2008.0,2008-10-04 17:00:00,Original,26.0
8558,Shugo Chara!! Doki,5262,TV (New),Satelight,fall,2008.0,2008-10-04 00:00:00,Manga,51.0
8559,Kurozuka,5039,TV (New),Madhouse,fall,2008.0,2008-10-07 00:00:00,Manga,12.0
8560,Mouryou no Hako,4879,TV (New),Madhouse,fall,2008.0,2008-10-08 00:00:00,Novel,13.0
8561,Hyakko,4550,TV (New),Nippon Animation,fall,2008.0,2008-10-02 00:00:00,Manga,13.0
8562,Macademi Wasshoi!,3654,TV (New),Zexcs,fall,2008.0,2008-10-06 00:00:00,Light novel,12.0
8563,Kurogane no Linebarrels,3653,TV (New),Gonzo,fall,2008.0,2008-10-03 00:00:00,Manga,24.0
8564,Kemeko Deluxe!,3464,TV (New),Hal Film Maker,fall,2008.0,2008-10-05 00:00:00,Manga,12.0
8565,Kyou no 5 no 2 (TV),4903,TV (New),Xebec,fall,2008.0,2008-10-06 00:00:00,Manga,13.0
8566,Tentai Senshi Sunred,5005,TV (New),AIC ASTA,fall,2008.0,2008-10-03 00:00:00,Manga,26.0
8567,Tytania,4066,TV (New),Artland,fall,2008.0,2008-10-09 00:00:00,Light novel,26.0
8568,Hokuto no Ken: Raoh Gaiden Ten no Haoh,4549,TV (New),Satelight,fall,2008.0,2008-10-03 00:00:00,Manga,13.0
8569,Bihada Ichizoku,4908,TV (New),          -,fall,2008.0,2008-10-07 00:00:00,Original,12.0
8570,Usavich III,5397,TV (New),Kanaban Graphics,fall,2008.0,2008-10-13 00:00:00,Original,13.0
8571,Battle Spirits: Shounen Toppa Bashin,5082,TV (New),"Sunrise, Toei Animation",fall,2008.0,2008-09-07 00:00:00,Card game,50.0
8572,Live On Cardliver Kakeru,5235,TV (New),TMS Entertainment,fall,2008.0,2008-10-05 00:00:00,Manga,51.0
8573,Mach Girl,4905,TV (New),Tatsunoko Production,fall,2008.0,2008-09-13 00:00:00,-,26.0
8574,Zettai Yareru Greece Shinwa,5234,TV (New),A-1 Pictures,fall,2008.0,2008-10-04 00:00:00,Original,13.0
8575,Giga Tribe,19501,TV (New),          -,fall,2008.0,2008-10-08 00:00:00,-,39.0
8576,Noramimi 2,5089,TV (New),          -,fall,2008.0,2008-10-01 00:00:00,Manga,13.0
8577,Negibouzu no Asatarou,5184,TV (New),Toei Animation,fall,2008.0,2008-10-12 00:00:00,Picture book,48.0
8578,Naruto: Shippuuden,1735,TV (Continuing),Studio Pierrot,fall,2008.0,2007-02-15 19:30:00,Manga,500.0
8579,One Piece,21,TV (Continuing),Toei Animation,fall,2008.0,1999-10-20 09:30:00,Manga,0.0
8580,Bleach,269,TV (Continuing),Studio Pierrot,fall,2008.0,2004-10-05 18:00:00,Manga,366.0
8581,Soul Eater,3588,TV (Continuing),Bones,fall,2008.0,2008-04-07 18:00:00,Manga,51.0
8582,Gintama,918,TV (Continuing),Sunrise,fall,2008.0,2006-04-04 18:00:00,Manga,201.0
8583,Katekyo Hitman Reborn!,1604,TV (Continuing),Artland,fall,2008.0,2006-10-07 10:30:00,Manga,203.0
8584,Detective Conan,235,TV (Continuing),TMS Entertainment,fall,2008.0,1996-01-08 18:00:00,Manga,0.0
8585,Yu☆Gi☆Oh! 5D's,3972,TV (Continuing),Gallop,fall,2008.0,2008-04-02 18:00:00,Manga,154.0
8586,Keroro Gunsou,516,TV (Continuing),Sunrise,fall,2008.0,2004-04-03 00:00:00,Manga,358.0
8587,Crayon Shin-chan,966,TV (Continuing),Shin-Ei Animation,fall,2008.0,1992-04-13 19:30:00,Manga,0.0
8588,Blade of the Immortal,4151,TV (Continuing),Bee Train,fall,2008.0,2008-07-14 00:00:00,Manga,13.0
8589,Zettai Karen Children,4038,TV (Continuing),SynergySP,fall,2008.0,2008-04-06 00:00:00,Manga,51.0
8590,Golgo 13 (TV),4039,TV (Continuing),The Answer Studio,fall,2008.0,2008-04-12 00:00:00,Manga,50.0
8591,Kyou kara Maou! 3rd Series,4080,TV (Continuing),Studio Deen,fall,2008.0,2008-04-03 00:00:00,Light novel,39.0
8592,Kirarin☆Revolution,1516,TV (Continuing),SynergySP,fall,2008.0,2006-04-07 18:00:00,Manga,153.0
8593,Blue Dragon: Tenkai no Shichi Ryuu,4197,TV (Continuing),Studio Pierrot,fall,2008.0,2008-04-05 00:00:00,Game,51.0
8594,Telepathy Shoujo Ran,3668,TV (Continuing),TMS Entertainment,fall,2008.0,2008-06-21 00:00:00,Novel,26.0
8595,Yes! Precure 5 GoGo!,3692,TV (Continuing),Toei Animation,fall,2008.0,2008-02-03 08:30:00,Original,48.0
8596,Sazae-san,2406,TV (Continuing),Eiken,fall,2008.0,1969-10-05 18:30:00,4-koma manga,0.0
8597,Gegege no Kitarou (2007),2165,TV (Continuing),Toei Animation,fall,2008.0,2007-04-01 09:00:00,Manga,100.0
8598,Yatterman,3295,TV (Continuing),Tatsunoko Production,fall,2008.0,2008-01-14 00:00:00,-,60.0
8599,Atashin'chi,3006,TV (Continuing),Shin-Ei Animation,fall,2008.0,2002-04-19 11:20:00,Manga,330.0
8600,Duel Masters Cross,10527,TV (Continuing),          -,fall,2008.0,2008-04-05 00:00:00,Original,100.0
8601,Onegai♪My Melody Kirara★,5938,TV (Continuing),Studio Comet,fall,2008.0,2008-04-06 09:30:00,-,52.0
8602,Oyako Club,12393,TV (Continuing),Eiken,fall,2008.0,1994-10-03 00:00:00,Original,1818.0
8603,Uchi no 3 Shimai,3975,TV (Continuing),"Daewon Media, Toei Animation",fall,2008.0,2008-04-08 00:00:00,Other,102.0
8604,Little Charo,13177,TV (Continuing),          -,fall,2008.0,2008-04-02 19:45:00,Original,50.0
8605,Hoshi Shinichi Short Short,8191,TV (Continuing),Echoes,fall,2008.0,2007-11-11 00:00:00,Book,26.0
8606,Oden-kun,9070,TV (Continuing),          -,fall,2008.0,2005-08-04 00:00:00,Picture book,156.0
8607,RoboDz,4547,TV (Continuing),Toei Animation,fall,2008.0,2008-06-02 00:00:00,-,26.0
8608,Chibinacs 3,32419,TV (Continuing),          -,fall,2008.0,2008-06-03 00:49:00,Other,25.0
8609,Eve no Jikan,3167,ONA,Studio Rikka,fall,2008.0,2008-08-01 00:00:00,Original,6.0
8610,Candy Boy: Nonchalant Talk of the Certain Twin Sisters in Daily Life,4535,ONA,AIC,fall,2008.0,2008-05-02 00:00:00,Original,7.0
8611,Sonic: Night of the WereHog,5583,ONA,Marza Animation Planet,fall,2008.0,2008-11-01 00:00:00,Game,1.0
8612,Pussycat,11687,ONA,          -,fall,2008.0,2008-12-08 00:00:00,Original,1.0
8613,Mugen Kouro,5322,ONA,"Gonzo, Production I.G",fall,2008.0,2008-10-09 00:00:00,Game,4.0
8614,Space Neko Theater,11729,ONA,          -,fall,2008.0,2008-12-09 00:00:00,-,1.0
8615,Shogi Hour,8968,ONA,          -,fall,2008.0,2008-10-05 00:00:00,-,1.0
8616,Hellsing Ultimate,777,OVA,"Graphinica, Madhouse, Satelight",fall,2008.0,2006-02-10 00:00:00,Manga,10.0
8617,Kiss x Sis,5042,OVA,feel.,fall,2008.0,2008-12-22 00:00:00,Manga,12.0
8618,Goku Sayonara Zetsubou Sensei,4872,OVA,Shaft,fall,2008.0,2008-10-17 00:00:00,Manga,3.0
8619,Seto no Hanayome OVA,4163,OVA,Gonzo,fall,2008.0,2008-11-03 00:00:00,Manga,2.0
8620,One Piece: Romance Dawn Story,5252,OVA,Toei Animation,fall,2008.0,2008-11-24 00:00:00,Manga,1.0
8621,Touhou Niji Sousaku Doujin Anime: Musou Kakyou,9874,OVA,          -,fall,2008.0,2008-12-29 00:00:00,Game,0.0
8622,Initial D Extra Stage 2,5228,OVA,A.C.G.T.,fall,2008.0,2008-10-03 00:00:00,Manga,1.0
8623,Switch,3574,OVA,Actas,fall,2008.0,2008-10-24 00:00:00,Manga,2.0
8624,Gunslinger Girl: Il Teatrino OVA,4765,OVA,Artland,fall,2008.0,2008-10-24 00:00:00,Manga,2.0
8625,Zettai Shougeki: Platonic Heart,5020,OVA,Arms,fall,2008.0,2008-10-29 00:00:00,Manga,5.0
8626,D.C.if: Da Capo if,5216,OVA,Zexcs,fall,2008.0,2008-12-25 00:00:00,Visual novel,2.0
8627,Mobile Suit Gundam MS IGLOO 2: Gravity of the Battlefront,4232,OVA,Sunrise,fall,2008.0,2008-10-24 00:00:00,-,3.0
8628,"Kamen no Maid Guy: Ano Natsu, Ichiban Yutaka na Chichi.",5045,OVA,Madhouse,fall,2008.0,2008-12-22 00:00:00,-,1.0
8629,Pyuu to Fuku! Jaguar: Return of Yaku Ichinenburi,23889,OVA,          -,fall,2008.0,2008-12-08 00:00:00,Manga,3.0
8630,Pure Aluminum: Sunoko-tan.,35502,OVA,Ishikawa Pro,fall,2008.0,2008-12-29 00:00:00,Other,1.0
8631,Perestroika,35270,OVA,          -,fall,2008.0,2008-10-24 00:00:00,Original,12.0
8632,Bleach Movie 3: Fade to Black - Kimi no Na wo Yobu,4835,Movie,Studio Pierrot,fall,2008.0,2008-12-13 00:00:00,Manga,1.0
8633,Kara no Kyoukai 6: Boukyaku Rokuon,5204,Movie,ufotable,fall,2008.0,2008-12-20 00:00:00,Light novel,1.0
8634,Biohazard: Degeneration,3446,Movie,Digital Frontier,fall,2008.0,2008-10-18 00:00:00,Game,1.0
8635,Hells,4983,Movie,Madhouse,fall,2008.0,2008-10-18 00:00:00,Manga,1.0
8636,Major Movie: Yuujou no Winning Shot,5029,Movie,Xebec,fall,2008.0,2008-12-13 00:00:00,Manga,1.0
8637,Genius Party Beyond,6795,Movie,Studio 4°C,fall,2008.0,2008-10-11 00:00:00,Original,5.0
8638,Hokuto no Ken Zero: Kenshirou Den,5291,Movie,TMS Entertainment,fall,2008.0,2008-10-11 00:00:00,-,1.0
8639,Ice Movie,9053,Movie,PPM,fall,2008.0,2008-11-29 00:00:00,-,1.0
8640,Zero no Tsukaima: Princesses no Rondo - Yuuwaku no Sunahama,5764,Special,J.C.Staff,fall,2008.0,2008-12-25 00:00:00,Light novel,1.0
8641,Vampire Knight: Gekiai no Portrait,8422,Special,Studio Deen,fall,2008.0,2008-11-26 00:00:00,Manga,1.0
8642,Tegamibachi: Hikari to Ao no Gensou Yawa,5538,Special,Studio Pierrot,fall,2008.0,2008-11-24 00:00:00,Manga,1.0
8643,Seto no Hanayome OVA Specials,7041,Special,Gonzo,fall,2008.0,2008-11-03 00:00:00,Manga,2.0
8644,Toshokan Sensou: Koi no Shougai,5332,Special,Production I.G,fall,2008.0,2008-10-01 00:00:00,Novel,1.0
8645,Hakushaku to Yousei Specials,7083,Special,Artland,fall,2008.0,2008-12-29 00:00:00,Light novel,6.0
8646,Urusei Yatsura: The Shougaibutsu Suieitaikai,6567,Special,Sunrise,fall,2008.0,2008-12-23 00:00:00,Manga,1.0
8647,Taisei Kensetsu: Shin Doha Kokusai Kuukou,13691,Special,          -,fall,2008.0,2008-12-10 00:00:00,Original,1.0
8648,Precure All Stars GoGo Dream Live!,10549,Special,Toei Animation,fall,2008.0,2008-11-08 00:00:00,Original,1.0
8649,Soosee no Aquarion: Dai 27-wa Parallel-ban,16415,Special,          -,fall,2008.0,2008-12-05 00:00:00,-,1.0
8650,Usavich Special,6878,Special,Kanaban Graphics,fall,2008.0,2008-10-31 00:00:00,-,1.0
8651,"Kemeko Deluxe!: Izumi-chan, Fukenkou yo! (Kari)",32503,Special,Hal Film Maker,fall,2008.0,2008-12-26 00:00:00,-,1.0
8652,Marie & Gali Episode Zero,6355,Special,Toei Animation,fall,2008.0,2008-11-08 00:00:00,Original,1.0
8653,Zettai Shougeki: Platonic Heart Picture Drama,21215,Special,Arms,fall,2008.0,2008-11-27 00:00:00,Original,4.0
8654,Kiss Dum R: Meguriahi,12689,Special,Satelight,fall,2008.0,2008-10-19 00:00:00,Original,1.0
8655,Kurogane no Linebarrels Picture Drama,33126,Special,Gonzo,fall,2008.0,2009-12-14 00:00:00,Manga,9.0
8656,Kochira Katsushikaku Kameari Kouenmae Hashutsujo: Mezase! Kameari Superstar!! Ryoutsu-shiki Aidoru h,33882,Special,          -,fall,2008.0,2008-10-26 00:00:00,Manga,2.0
