,title,MAL_id,type,studio,release-season,release-year,realase-date,source-material,episodes
78,Ijiwaru Baasan,20079,TV (Continuing),          -,winter,1971.0,1970-09-03 00:00:00,-,39.0
79,Manga Jinbutsushi,23001,TV (Continuing),          -,winter,1971.0,1970-08-01 00:00:00,-,365.0
80,Warera Salaryman Tou,22219,TV (Continuing),          -,winter,1971.0,1970-10-07 00:00:00,-,26.0
81,Doubutsu Takarajima,3842,Movie,Toei Animation,winter,1971.0,1971-03-20 00:00:00,Novel,1.0
82,Attack No.1: Namida no Fushichou,9164,Movie,          -,winter,1971.0,1971-03-17 00:00:00,-,1.0
83,Ninpuu Kamui Gaiden: Tsukihigai no Maki,30965,Movie,          -,winter,1971.0,1971-03-20 00:00:00,-,1.0
84,Kick no Oni (1971),19683,Movie,Toei Animation,winter,1971.0,1971-03-20 00:00:00,-,1.0
85,Sasurai no Taiyou,3819,TV (New),          -,spring,1971.0,1971-04-08 00:00:00,Manga,26.0
86,Animentary: Ketsudan,8436,TV (New),Tatsunoko Production,spring,1971.0,1971-04-03 00:00:00,-,25.0
87,Ashita no Joe,2402,TV (Continuing),Mushi Production,spring,1971.0,1970-04-01 19:00:00,Manga,79.0
88,Tiger Mask,3009,TV (Continuing),Toei Animation,spring,1971.0,1969-10-02 00:00:00,Manga,105.0
89,Attack No.1,1550,TV (Continuing),Tokyo Movie Shinsha,spring,1971.0,1969-12-07 19:00:00,Manga,104.0
90,Sazae-san,2406,TV (Continuing),Eiken,spring,1971.0,1969-10-05 18:30:00,4-koma manga,0.0
91,Konchuu Monogatari Minashigo Hutch,3858,TV (Continuing),Tatsunoko Production,spring,1971.0,1970-04-07 00:00:00,Original,91.0
92,Kyojin no Hoshi,5834,TV (Continuing),TMS Entertainment,spring,1971.0,1968-03-30 00:00:00,Manga,182.0
93,Mahou no Mako-chan,4113,TV (Continuing),Toei Animation,spring,1971.0,1970-11-02 00:00:00,-,48.0
94,Kabatotto,3683,TV (Continuing),Tatsunoko Production,spring,1971.0,1971-01-01 00:00:00,-,300.0
95,Inakappe Taishou,8786,TV (Continuing),Tatsunoko Production,spring,1971.0,1970-10-04 00:00:00,-,104.0
96,Ijiwaru Baasan,20079,TV (Continuing),          -,spring,1971.0,1970-09-03 00:00:00,-,39.0
97,Manga Jinbutsushi,23001,TV (Continuing),          -,spring,1971.0,1970-08-01 00:00:00,-,365.0
98,Ashita no Joe,2402,TV (Continuing),Mushi Production,summer,1971.0,1970-04-01 19:00:00,Manga,79.0
99,Tiger Mask,3009,TV (Continuing),Toei Animation,summer,1971.0,1969-10-02 00:00:00,Manga,105.0
100,Attack No.1,1550,TV (Continuing),Tokyo Movie Shinsha,summer,1971.0,1969-12-07 19:00:00,Manga,104.0
101,Sazae-san,2406,TV (Continuing),Eiken,summer,1971.0,1969-10-05 18:30:00,4-koma manga,0.0
102,Konchuu Monogatari Minashigo Hutch,3858,TV (Continuing),Tatsunoko Production,summer,1971.0,1970-04-07 00:00:00,Original,91.0
103,Kyojin no Hoshi,5834,TV (Continuing),TMS Entertainment,summer,1971.0,1968-03-30 00:00:00,Manga,182.0
104,Mahou no Mako-chan,4113,TV (Continuing),Toei Animation,summer,1971.0,1970-11-02 00:00:00,-,48.0
105,Sasurai no Taiyou,3819,TV (Continuing),          -,summer,1971.0,1971-04-08 00:00:00,Manga,26.0
106,Animentary: Ketsudan,8436,TV (Continuing),Tatsunoko Production,summer,1971.0,1971-04-03 00:00:00,-,25.0
107,Kabatotto,3683,TV (Continuing),Tatsunoko Production,summer,1971.0,1971-01-01 00:00:00,-,300.0
108,Inakappe Taishou,8786,TV (Continuing),Tatsunoko Production,summer,1971.0,1970-10-04 00:00:00,-,104.0
109,Ijiwaru Baasan,20079,TV (Continuing),          -,summer,1971.0,1970-09-03 00:00:00,-,39.0
110,Manga Jinbutsushi,23001,TV (Continuing),          -,summer,1971.0,1970-08-01 00:00:00,-,365.0
111,Ali Baba to 40-hiki no Touzoku,3843,Movie,Toei Animation,summer,1971.0,1971-07-18 00:00:00,-,1.0
112,Lupin III,1412,TV (New),Tokyo Movie Shinsha,fall,1971.0,1971-10-24 19:30:00,Manga,23.0
113,Gegege no Kitarou (1971),6971,TV (New),Toei Animation,fall,1971.0,1971-10-07 00:00:00,Manga,45.0
114,Genshi Shounen Ryuu,1537,TV (New),Toei Animation,fall,1971.0,1971-10-30 19:00:00,Manga,22.0
115,Fushigi na Melmo,5476,TV (New),Tezuka Productions,fall,1971.0,1971-10-03 18:30:00,Manga,26.0
116,Tensai Bakabon,6468,TV (New),          -,fall,1971.0,1971-09-25 00:00:00,-,40.0
117,Apache Yakyuugun,3844,TV (New),Toei Animation,fall,1971.0,1971-10-06 19:30:00,Manga,26.0
118,Sekai Monoshiri Ryoko,10241,TV (New),          -,fall,1971.0,1971-10-01 00:00:00,-,1006.0
119,Shin Obake no Q-tarou,7980,TV (New),          -,fall,1971.0,1971-09-01 19:30:00,-,70.0
120,Kunimatsu-sama no Otoridai,17669,TV (New),          -,fall,1971.0,1971-10-06 19:00:00,-,46.0
121,Shin Skyers 5,22997,TV (New),          -,fall,1971.0,1971-10-14 00:00:00,-,25.0
122,Attack No.1,1550,TV (Continuing),Tokyo Movie Shinsha,fall,1971.0,1969-12-07 19:00:00,Manga,104.0
123,Sazae-san,2406,TV (Continuing),Eiken,fall,1971.0,1969-10-05 18:30:00,4-koma manga,0.0
124,Konchuu Monogatari Minashigo Hutch,3858,TV (Continuing),Tatsunoko Production,fall,1971.0,1970-04-07 00:00:00,Original,91.0
125,Kabatotto,3683,TV (Continuing),Tatsunoko Production,fall,1971.0,1971-01-01 00:00:00,-,300.0
