,title,MAL_id,type,studio,release-season,release-year,release-date,source-material,episodes,score,members,genres
17,Issunboushi,10760,Movie,Unknown,winter,1918.0,,Original,1.0,5.69,500.0,"['Drama']"
18,Kobutori,22511,Movie,Unknown,winter,1918.0,,Other,1.0,5.75,496.0,"['Comedy']"
19,Kintarou,10759,Movie,Unknown,winter,1918.0,,Original,1.0,0.0,401.0,"['Drama']"
20,Yukidaruma,30957,Movie,Unknown,winter,1918.0,,Original,1.0,0.0,377.0,"['Fantasy']"
21,Kaeru no Yume,49243,Movie,Unknown,winter,1918.0,,,1.0,0.0,0.0,
22,Ari to Hato,21761,Movie,Unknown,summer,1918.0,,Other,1.0,0.0,319.0,
23,Baguda-jou no Touzoku,28041,Movie,Unknown,fall,1926.0,,Original,1.0,5.06,1300.0,"['Adventure', 'Romance']"
24,Mikan-bune,7497,Movie,Unknown,winter,1927.0,,Other,1.0,4.72,1100.0,
25,Saru Kani Gassen (1927),35391,Movie,Unknown,spring,1927.0,,Other,1.0,5.44,817.0,"['Drama']"
26,Da Nao Hua Shi,43329,Movie,Unknown,spring,1927.0,,Original,1.0,0.0,69.0,"['Comedy']"
27,Tako no Hone,35492,Movie,Unknown,fall,1927.0,,Other,1.0,4.93,678.0,"['Fantasy']"
28,Chinsetsu Yoshida Goten,39083,Movie,Unknown,spring,1928.0,,Novel,1.0,0.0,215.0,
29,Doubutsu Olympic Taikai,7498,Movie,Unknown,summer,1928.0,,Original,1.0,5.47,977.0,"['Comedy', 'Sports']"
30,Hanasaka Jiisan,30086,Movie,Unknown,summer,1928.0,,Other,1.0,4.85,968.0,"['Comedy', 'Drama']"
31,Bunbuku Chagama,24881,Movie,Unknown,summer,1928.0,,Other,1.0,0.0,387.0,
32,Kogane no Hana,28045,Movie,Unknown,winter,1929.0,,Original,1.0,4.79,891.0,"['Action', 'Adventure', 'Fantasy']"
33,Kaeru wa Kaeru,35491,Movie,Unknown,winter,1929.0,,Original,1.0,0.0,277.0,
34,Tarou-san no Kisha,5873,Movie,Unknown,spring,1929.0,,Original,1.0,5.42,1600.0,"['Action']"
35,Kobutori (1929),5875,Movie,Unknown,fall,1929.0,,Other,1.0,5.89,3000.0,"['Comedy']"
36,Oira no Yakyuu,5826,Movie,Unknown,winter,1930.0,,Original,1.0,5.39,1800.0,"['Sports']"
37,Kaumori,5631,Movie,Unknown,winter,1930.0,,Original,1.0,5.44,1300.0,"['Drama']"
38,Oira no Ski,23759,Movie,Unknown,winter,1930.0,,Original,1.0,5.14,862.0,"['Comedy', 'Sports']"
39,Entotsuya Peroo,15137,Movie,Unknown,spring,1930.0,,Original,1.0,5.44,484.0,
40,Osekisho,35390,Movie,Unknown,spring,1930.0,,Original,1.0,4.58,445.0,
41,Mura Matsuri,6769,Movie,Unknown,fall,1930.0,,Original,1.0,4.97,2100.0,
42,Kuro Nyago,4398,Movie,Unknown,winter,1931.0,,Original,1.0,5.38,3200.0,"['Fantasy']"
43,Saru Masamune,4391,Movie,Unknown,winter,1931.0,,Original,1.0,5.44,1500.0,"['Adventure']"
44,Nonsense Monogatari Dai Ippen: Sarugashima,28695,Movie,Unknown,winter,1931.0,,Original,1.0,5.19,872.0,"['Adventure']"
45,Kokka Kimigayo,4393,Movie,Unknown,spring,1931.0,,Original,1.0,4.84,1700.0,
46,Tanukichi no Ohanashi,35490,Movie,Unknown,spring,1931.0,,Original,1.0,0.0,267.0,"['Fantasy']"
47,Sora no Momotarou,4390,Movie,Unknown,fall,1931.0,,Original,1.0,5.11,1200.0,"['Adventure', 'Comedy']"
48,Umi no Momotarou,5661,Movie,Unknown,winter,1932.0,,Original,1.0,4.7,1300.0,
49,Ooatari Sora no Entaku,4392,Movie,Unknown,fall,1932.0,,Original,1.0,5.06,1000.0,"['Comedy']"
50,Hibari no Yadogae,5870,Movie,Unknown,winter,1933.0,,Original,1.0,4.84,1100.0,"['Action']"
51,Kaeru San Yuushi,28051,Movie,Unknown,winter,1933.0,,Original,1.0,4.53,762.0,"['Adventure', 'Comedy']"
52,Norakuro Nitouhei: Kyouren no Maki,5871,Movie,Unknown,spring,1933.0,,Manga,1.0,4.99,938.0,"['Action', 'Adventure']"
53,Norakuro Nitouhei: Enshuu no Maki,4395,Movie,Unknown,spring,1933.0,,Manga,1.0,5.03,877.0,"['Adventure']"
54,Chikara to Onna no Yo no Naka,7354,Movie,Unknown,spring,1933.0,,Original,1.0,0.0,523.0,
55,Ugokie Kori no Tatehiki,3929,Movie,Unknown,fall,1933.0,,Original,1.0,5.65,1300.0,"['Comedy', 'Supernatural']"
56,Numa no Taishou,28049,Movie,Unknown,fall,1933.0,,Original,1.0,4.95,579.0,"['Adventure', 'Comedy']"
57,Osaru no Tairyou,23267,Movie,Unknown,fall,1933.0,,Original,1.0,5.23,544.0,"['Slice of Life']"
58,Osaru no Sankichi: Totsugeki-tai,4397,Movie,Unknown,winter,1934.0,,Original,1.0,4.64,1200.0,
59,Norakuro Gochou,4394,Movie,Unknown,winter,1934.0,,Manga,1.0,5.05,1000.0,"['Adventure']"
60,Adauchi Karasu,35212,Movie,Unknown,winter,1934.0,,,1.0,0.0,314.0,
61,Omocha Bako Series Dai 3 Wa: Ehon 1936-nen,6823,Movie,Unknown,spring,1934.0,,Other,1.0,4.69,1200.0,"['Fantasy']"
62,Tengu Taiji,6837,Movie,Unknown,spring,1934.0,,Original,1.0,5.06,1100.0,"['Comedy']"
63,Genroku Koi Moyou: Sankichi to Osayo,23265,Movie,Unknown,spring,1934.0,,Original,1.0,4.84,704.0,"['Adventure', 'Romance']"
64,Ponsuke no Haru,23089,Movie,Unknown,summer,1934.0,,Original,1.0,5.16,585.0,"['Comedy']"
65,Kachikachi Yama: Umi Yama-hen,33133,Movie,Unknown,summer,1934.0,,Other,1.0,0.0,289.0,"['Fantasy']"
66,Tsuki no Miya no Oujo-sama,15139,Movie,Unknown,fall,1934.0,,Original,1.0,5.38,425.0,
67,Taa-chan no Kaitei Ryokou,6834,Movie,Unknown,winter,1935.0,,Original,1.0,4.46,1100.0,"['Adventure']"
68,Chagama Ondo,17076,Movie,Unknown,winter,1935.0,,Original,1.0,4.93,1000.0,"['Comedy', 'Supernatural']"
69,Issunboushi: Chibisuke Monogatari,6836,Movie,Unknown,spring,1935.0,,Original,1.0,5.07,1000.0,"['Action']"
70,Umi no Mizu wa Naze Karai,6835,Movie,Unknown,summer,1935.0,,Original,1.0,5.7,1200.0,
71,Ari to Kaeru,36701,Movie,Unknown,summer,1935.0,,Original,1.0,0.0,237.0,
72,Ninjutsu Hinotama Kozou: Edo no Maki,6833,Movie,Unknown,fall,1935.0,,Original,1.0,4.06,1200.0,"['Action']"
73,Yowamushi Chinsengumi,24981,Movie,Unknown,fall,1935.0,,Original,1.0,0.0,315.0,"['Comedy']"
74,Izakaya no Ichiya,6829,Movie,Unknown,spring,1936.0,,Original,1.0,5.21,944.0,"['Action']"
75,Shinsetsu Kachikachi Yama,31912,Movie,Unknown,fall,1936.0,,Original,1.0,5.06,671.0,"['Action', 'Fantasy']"
76,Maabou no Shounen Koukuu Tsuwamono,7500,Movie,Unknown,fall,1937.0,,Original,1.0,0.0,343.0,
77,Sora no Arawashi,31948,Movie,Unknown,spring,1938.0,,Original,1.0,0.0,290.0,"['Action', 'Drama']"
78,Maabou no Kinoshita Toukichirou,6841,Movie,Unknown,fall,1938.0,,Original,1.0,5.06,1100.0,
79,Benkei tai Ushiwaka,12561,Movie,Unknown,summer,1939.0,,Other,1.0,5.28,1200.0,"['Action', 'Comedy']"
80,Kachikachi Yama (1940),33135,Movie,Unknown,winter,1940.0,,Other,1.0,0.0,285.0,"['Fantasy']"
81,Ochou Fujin no Gensou,28143,Movie,Unknown,spring,1940.0,,Other,1.0,5.59,795.0,"['Drama']"
82,Kintarou Taiiku Nikki,7501,Movie,Unknown,summer,1940.0,,Original,1.0,5.34,550.0,"['Comedy']"
83,Tie Shan Gongzhu,9521,Movie,Unknown,winter,1941.0,,Other,1.0,5.39,962.0,"['Action', 'Adventure', 'Fantasy']"
84,Kangaroo no Tanjoubi,6843,Movie,Unknown,winter,1941.0,,Original,1.0,5.28,958.0,"['Adventure']"
85,Fuku-chan no Kishuu,23969,Movie,Shochiku Animation Institute,winter,1942.0,,Other,1.0,0.0,403.0,"['Comedy']"
86,Spy Gekimetsu,27575,Movie,Unknown,summer,1942.0,,Original,1.0,0.0,438.0,
87,Momotarou no Umiwashi,6857,Movie,Unknown,winter,1943.0,,Original,1.0,4.89,1600.0,
88,Kumo to Tulip,3990,Movie,Shochiku Animation Institute,spring,1943.0,,Picture book,1.0,5.68,2000.0,"['Adventure']"
89,Fuku-chan no Zousan Butai,23971,Movie,Shochiku Animation Institute,summer,1943.0,,Other,1.0,0.0,328.0,"['Comedy']"
90,Malay Oki Kaisen,29782,Movie,Unknown,fall,1943.0,,Original,1.0,5.31,480.0,
91,Fuku-chan no Sensuikan,7523,Movie,Shochiku Animation Institute,fall,1944.0,,Other,1.0,4.99,701.0,"['Comedy']"
92,Momotarou: Umi no Shinpei,2765,Movie,Shochiku Animation Institute,spring,1945.0,,Original,1.0,5.17,2300.0,"['Action']"
93,Suteneko Tora-chan,5662,Movie,Unknown,summer,1947.0,,Original,1.0,5.73,1400.0,
94,Muku no Ki no Hanashi,29895,Movie,Unknown,summer,1947.0,,Original,1.0,5.57,364.0,
95,Tora-chan to Hanayome,12603,Movie,Unknown,winter,1948.0,,Original,1.0,5.6,1100.0,"['Drama']"
96,Kachikachi Yama no Shouboutai,30457,Movie,Unknown,winter,1948.0,,Music,1.0,0.0,364.0,"['Comedy']"
97,Poppoya-san: Nonki Ekichou,23633,Movie,Unknown,fall,1948.0,,Original,1.0,0.0,251.0,
98,Poppoya-san: Nonki Kikanshi,23635,Movie,Unknown,spring,1949.0,,Original,1.0,0.0,228.0,
99,Kitsune no Home Run Ou,28035,Movie,Unknown,summer,1949.0,,Original,1.0,5.1,478.0,"['Sports']"
100,Ousama no Shippo,7526,Movie,Unknown,fall,1949.0,,Original,1.0,0.0,370.0,"['Fantasy']"
101,Doubutsu Dai Yakyuu Sen,27577,Movie,Unknown,fall,1949.0,,Original,1.0,0.0,336.0,"['Sports']"
102,Kobito to Ao Mushi,23637,Movie,Unknown,fall,1950.0,,Original,1.0,0.0,261.0,
103,Ponsuke no Udekurabe,7527,Movie,Unknown,winter,1951.0,,Original,1.0,0.0,337.0,"['Action']"
104,Kujira (1952),7528,Movie,Unknown,fall,1952.0,,Original,1.0,5.09,1200.0,"['Fantasy']"
105,Mori no Ongakukai,7529,Movie,Unknown,winter,1953.0,,Original,1.0,0.0,386.0,"['Comedy']"
106,Ari to Hato (1953),21763,Movie,Unknown,summer,1953.0,,Other,1.0,0.0,275.0,
107,Kousagi Monogatari,23097,Movie,Unknown,winter,1954.0,,Original,1.0,0.0,252.0,"['Comedy']"
108,Kappa Kawatarou,23639,Movie,Unknown,spring,1954.0,,Original,1.0,5.56,389.0,"['Supernatural']"
109,Hana to Chou,7530,Movie,Unknown,fall,1954.0,,Original,1.0,5.06,828.0,"['Fantasy']"
110,Onbu Obake,7531,Movie,Unknown,fall,1955.0,,Original,1.0,0.0,369.0,"['Supernatural']"
111,Ukare Violin,23641,Movie,Unknown,fall,1955.0,,Original,1.0,0.0,242.0,"['Fantasy']"
112,Yuureisen,11447,Movie,Unknown,spring,1956.0,,Book,1.0,5.59,1800.0,"['Supernatural']"
113,Kuroi Kikori to Shiroi Kikori,7532,Movie,Unknown,summer,1956.0,,Original,1.0,6.15,735.0,"['Fantasy']"
114,Chibikuro Sambo no Tora Taiji,29947,Movie,Unknown,fall,1956.0,,Original,1.0,0.0,277.0,
115,Chibikuro Sambo to Futago no Otouto,29948,Movie,Unknown,winter,1957.0,,Original,1.0,0.0,251.0,
116,Ba Luo Bo,48979,Movie,Unknown,winter,1957.0,,Other,1.0,0.0,71.0,"['Comedy']"
117,Koneko no Rakugaki,6993,Movie,Toei Animation,spring,1957.0,,Original,1.0,5.76,1700.0,"['Comedy']"
118,Fushigi na Taiko,29919,Movie,Unknown,summer,1957.0,,Other,1.0,5.5,365.0,
119,Fukusuke,29923,Movie,Unknown,fall,1957.0,,Original,1.0,5.31,658.0,
120,Koguma no Koro-chan,9850,Movie,Unknown,winter,1958.0,,Other,1.0,5.53,622.0,
121,Yumemi Douji,29812,Movie,Unknown,spring,1958.0,,Original,1.0,5.48,420.0,"['Drama']"
122,Hakujaden,4513,Movie,Toei Animation,fall,1958.0,,Other,1.0,6.12,4800.0,"['Adventure', 'Fantasy', 'Romance']"
123,Chuumon no Ooi Ryouriten,7621,Movie,Unknown,fall,1958.0,,Book,1.0,5.54,1000.0,"['Fantasy', 'Horror', 'Supernatural']"
124,Mogura no Adventure,19125,Special,Unknown,fall,1958.0,,Original,1.0,4.72,622.0,"['Adventure']"
125,Hyoutan Suzume,16007,Movie,Unknown,winter,1959.0,,Original,1.0,5.56,502.0,"['Fantasy']"
126,Koneko no Studio,6994,Movie,Toei Animation,spring,1959.0,,Original,1.0,6.04,1400.0,"['Comedy']"
127,Ari to Hato (1959),21765,Movie,Gakken Eigakyoku,summer,1959.0,,Other,1.0,5.46,373.0,
128,Shounen Sarutobi Sasuke,4948,Movie,Toei Animation,fall,1959.0,,Original,1.0,5.95,1600.0,"['Adventure', 'Fantasy']"
129,Kozaru no Buranko,32626,Movie,Unknown,fall,1959.0,,Picture book,1.0,5.48,296.0,
130,3-tsu no Hanashi,8774,Special,Unknown,winter,1960.0,,Other,1.0,4.84,786.0,"['Fantasy']"
131,Kitakaze to Taiyou,32693,Movie,Unknown,spring,1960.0,,Other,1.0,0.0,278.0,
132,Saiyuuki,4481,Movie,Toei Animation,summer,1960.0,,Novel,1.0,6.25,2800.0,"['Adventure']"
133,Instant History,14211,TV (New),Unknown,spring,1961.0,,Original,312.0,6.12,737.0,
134,Instant History,14211,TV (Continuing),Unknown,summer,1961.0,,Original,312.0,6.12,737.0,
135,Anju to Zushioumaru,7610,Movie,Toei Animation,summer,1961.0,,Other,1.0,6.03,1800.0,"['Fantasy']"
136,Instant History,14211,TV (Continuing),Unknown,fall,1961.0,,Original,312.0,6.12,737.0,
137,Instant History,14211,TV (Continuing),Unknown,winter,1962.0,,Original,312.0,6.12,737.0,
138,Arabian Night: Sindbad no Bouken,7786,Movie,Toei Animation,spring,1962.0,,Book,1.0,5.43,1500.0,"['Action', 'Adventure', 'Fantasy']"
139,Tanoshii Bunmeishi: Tetsu Monogatari,23003,Movie,Toei Animation,spring,1962.0,,Original,1.0,0.0,312.0,"['Slice of Life']"
140,Otogi Manga Calendar,14213,TV (New),Unknown,summer,1962.0,,Original,312.0,6.08,594.0,
141,Mogura no Motoro,23005,Movie,Toei Animation,summer,1962.0,,,1.0,0.0,348.0,"['Slice of Life']"
142,Otogi no Sekai Ryokou,17675,Movie,Unknown,summer,1962.0,,,1.0,0.0,286.0,"['Adventure']"
143,Otogi Manga Calendar,14213,TV (Continuing),Unknown,fall,1962.0,,Original,312.0,6.08,594.0,
144,Aru Machi Kado no Monogatari,1497,Movie,Unknown,fall,1962.0,,Original,1.0,6.59,4000.0,"['Drama', 'Romance']"
145,Osu,1982,Movie,Mushi Production,fall,1962.0,,Original,1.0,5.22,3300.0,"['Slice of Life']"
146,Tetsuwan Atom,2747,TV (New),Mushi Production,winter,1963.0,,Manga,193.0,7.09,11000.0,"['Action', 'Adventure', 'Drama', 'Sci-Fi']"
147,Otogi Manga Calendar,14213,TV (Continuing),Unknown,winter,1963.0,,Original,312.0,6.08,594.0,
148,Wanpaku Ouji no Orochi Taiji,3905,Movie,Toei Animation,winter,1963.0,,Original,1.0,6.28,2200.0,"['Adventure', 'Fantasy']"
149,Tetsuwan Atom,2747,TV (Continuing),Mushi Production,spring,1963.0,,Manga,193.0,7.09,11000.0,"['Action', 'Adventure', 'Drama', 'Sci-Fi']"
150,Otogi Manga Calendar,14213,TV (Continuing),Unknown,spring,1963.0,,Original,312.0,6.08,594.0,
151,Tetsuwan Atom,2747,TV (Continuing),Mushi Production,summer,1963.0,,Manga,193.0,7.09,11000.0,"['Action', 'Adventure', 'Drama', 'Sci-Fi']"
152,Otogi Manga Calendar,14213,TV (Continuing),Unknown,summer,1963.0,,Original,312.0,6.08,594.0,
153,Tetsujin 28-gou,2686,TV (New),Eiken,fall,1963.0,,Manga,96.0,6.37,2900.0,"['Adventure', 'Sci-Fi']"
154,Eightman,5052,TV (New),Nippon Animation,fall,1963.0,,Manga,56.0,5.91,1600.0,"['Action', 'Drama', 'Sci-Fi']"
155,Sennin Buraku,8041,TV (New),Eiken,fall,1963.0,,4-koma manga,23.0,5.89,853.0,"['Comedy', 'Ecchi']"
156,Ookami Shounen Ken,17521,TV (New),Toei Animation,fall,1963.0,,,86.0,0.0,557.0,"['Adventure']"
157,Tetsuwan Atom,2747,TV (Continuing),Mushi Production,fall,1963.0,,Manga,193.0,7.09,11000.0,"['Action', 'Adventure', 'Drama', 'Sci-Fi']"
158,Otogi Manga Calendar,14213,TV (Continuing),Unknown,fall,1963.0,,Original,312.0,6.08,594.0,
159,Wan Wan Chuushingura,9228,Movie,Toei Animation,fall,1963.0,,,1.0,5.58,1000.0,"['Action', 'Adventure', 'Drama', 'Fantasy']"
160,Ookami Shounen Ken (Movie),23007,Movie,Toei Animation,fall,1963.0,,,1.0,0.0,291.0,"['Adventure']"
161,0-sen Hayato,12763,TV (New),Unknown,winter,1964.0,,Manga,38.0,5.96,792.0,
162,Shisukon Ouji,19981,TV (New),Unknown,winter,1964.0,,Manga,14.0,0.0,338.0,"['Adventure']"
163,Tetsuwan Atom,2747,TV (Continuing),Mushi Production,winter,1964.0,,Manga,193.0,7.09,11000.0,"['Action', 'Adventure', 'Drama', 'Sci-Fi']"
164,Tetsujin 28-gou,2686,TV (Continuing),Eiken,winter,1964.0,,Manga,96.0,6.37,2900.0,"['Adventure', 'Sci-Fi']"
165,Eightman,5052,TV (Continuing),Nippon Animation,winter,1964.0,,Manga,56.0,5.91,1600.0,"['Action', 'Drama', 'Sci-Fi']"
166,Sennin Buraku,8041,TV (Continuing),Eiken,winter,1964.0,,4-koma manga,23.0,5.89,853.0,"['Comedy', 'Ecchi']"
167,Otogi Manga Calendar,14213,TV (Continuing),Unknown,winter,1964.0,,Original,312.0,6.08,594.0,
168,Ookami Shounen Ken,17521,TV (Continuing),Toei Animation,winter,1964.0,,,86.0,0.0,557.0,"['Adventure']"
169,Ookami Shounen Ken: Arabia no Kaijin - Ma no Iwa no Kettou,23009,Movie,Toei Animation,winter,1964.0,,,1.0,0.0,348.0,"['Adventure']"
170,Tetsujin 28-gou: Tanjou-hen,27993,Special,Eiken,winter,1964.0,,,1.0,0.0,426.0,"['Adventure', 'Sci-Fi']"
171,Big X,9613,TV (New),Tokyo Movie Shinsha,spring,1964.0,,Manga,59.0,6.07,979.0,"['Action', 'Sci-Fi']"
172,Tetsuwan Atom,2747,TV (Continuing),Mushi Production,spring,1964.0,,Manga,193.0,7.09,11000.0,"['Action', 'Adventure', 'Drama', 'Sci-Fi']"
173,Tetsujin 28-gou,2686,TV (Continuing),Eiken,spring,1964.0,,Manga,96.0,6.37,2900.0,"['Adventure', 'Sci-Fi']"
174,Eightman,5052,TV (Continuing),Nippon Animation,spring,1964.0,,Manga,56.0,5.91,1600.0,"['Action', 'Drama', 'Sci-Fi']"
175,0-sen Hayato,12763,TV (Continuing),Unknown,spring,1964.0,,Manga,38.0,5.96,792.0,
176,Otogi Manga Calendar,14213,TV (Continuing),Unknown,spring,1964.0,,Original,312.0,6.08,594.0,
177,Ookami Shounen Ken,17521,TV (Continuing),Toei Animation,spring,1964.0,,,86.0,0.0,557.0,"['Adventure']"
178,Kirin no Otenki Mama-san,30079,Special,Unknown,spring,1964.0,,Other,12.0,5.11,426.0,"['Fantasy']"
179,Shounen Ninja Kaze no Fujimaru,13307,TV (New),Toei Animation,summer,1964.0,,,65.0,5.71,870.0,"['Action', 'Adventure']"
180,Tetsuwan Atom,2747,TV (Continuing),Mushi Production,summer,1964.0,,Manga,193.0,7.09,11000.0,"['Action', 'Adventure', 'Drama', 'Sci-Fi']"
181,Tetsujin 28-gou,2686,TV (Continuing),Eiken,summer,1964.0,,Manga,96.0,6.37,2900.0,"['Adventure', 'Sci-Fi']"
182,Eightman,5052,TV (Continuing),Nippon Animation,summer,1964.0,,Manga,56.0,5.91,1600.0,"['Action', 'Drama', 'Sci-Fi']"
183,Big X,9613,TV (Continuing),Tokyo Movie Shinsha,summer,1964.0,,Manga,59.0,6.07,979.0,"['Action', 'Sci-Fi']"
184,0-sen Hayato,12763,TV (Continuing),Unknown,summer,1964.0,,Manga,38.0,5.96,792.0,
185,Ookami Shounen Ken,17521,TV (Continuing),Toei Animation,summer,1964.0,,,86.0,0.0,557.0,"['Adventure']"
186,Ningyo,2047,Movie,Mushi Production,summer,1964.0,,,1.0,6.34,3800.0,"['Fantasy']"
187,Memory,1984,Movie,Unknown,summer,1964.0,,Original,1.0,6.05,2800.0,"['Mystery']"
188,Tetsuwan Atom: Uchuu no Yuusha,10342,Movie,Mushi Production,summer,1964.0,,Original,1.0,6.27,1500.0,"['Action', 'Adventure', 'Drama', 'Sci-Fi']"
189,Shounen Ninja Kaze no Fujimaru: Nazo no Arabiya Ningyou,19983,Movie,Toei Animation,summer,1964.0,,,1.0,0.0,373.0,"['Action', 'Adventure']"
190,Tetsuwan Atom,2747,TV (Continuing),Mushi Production,fall,1964.0,,Manga,193.0,7.09,11000.0,"['Action', 'Adventure', 'Drama', 'Sci-Fi']"
191,Tetsujin 28-gou,2686,TV (Continuing),Eiken,fall,1964.0,,Manga,96.0,6.37,2900.0,"['Adventure', 'Sci-Fi']"
192,Eightman,5052,TV (Continuing),Nippon Animation,fall,1964.0,,Manga,56.0,5.91,1600.0,"['Action', 'Drama', 'Sci-Fi']"
193,Big X,9613,TV (Continuing),Tokyo Movie Shinsha,fall,1964.0,,Manga,59.0,6.07,979.0,"['Action', 'Sci-Fi']"
194,Shounen Ninja Kaze no Fujimaru,13307,TV (Continuing),Toei Animation,fall,1964.0,,,65.0,5.71,870.0,"['Action', 'Adventure']"
195,Ookami Shounen Ken,17521,TV (Continuing),Toei Animation,fall,1964.0,,,86.0,0.0,557.0,"['Adventure']"
196,Uchuu Patrol Hopper,12897,TV (New),Toei Animation,winter,1965.0,,,44.0,0.0,539.0,"['Sci-Fi']"
197,Mirai Kara Kita Shounen Super Jetter,16159,TV (New),Unknown,winter,1965.0,,Original,52.0,0.0,478.0,"['Action', 'Comedy', 'Sci-Fi']"
198,Tetsuwan Atom,2747,TV (Continuing),Mushi Production,winter,1965.0,,Manga,193.0,7.09,11000.0,"['Action', 'Adventure', 'Drama', 'Sci-Fi']"
199,Tetsujin 28-gou,2686,TV (Continuing),Eiken,winter,1965.0,,Manga,96.0,6.37,2900.0,"['Adventure', 'Sci-Fi']"
200,Big X,9613,TV (Continuing),Tokyo Movie Shinsha,winter,1965.0,,Manga,59.0,6.07,979.0,"['Action', 'Sci-Fi']"
201,Shounen Ninja Kaze no Fujimaru,13307,TV (Continuing),Toei Animation,winter,1965.0,,,65.0,5.71,870.0,"['Action', 'Adventure']"
202,Ookami Shounen Ken,17521,TV (Continuing),Toei Animation,winter,1965.0,,,86.0,0.0,557.0,"['Adventure']"
203,Gulliver no Uchuu Ryokou,2833,Movie,Toei Animation,winter,1965.0,,,1.0,5.78,1400.0,"['Adventure', 'Sci-Fi']"
204,Shin Takarajima,15823,Special,Mushi Production,winter,1965.0,,Novel,1.0,5.82,469.0,"['Adventure']"
205,Uchuu Ace,6989,TV (New),Tatsunoko Production,spring,1965.0,,,52.0,0.0,639.0,"['Action', 'Adventure', 'Sci-Fi']"
206,Uchuu Shounen Soran,12887,TV (New),Eiken,spring,1965.0,,,96.0,0.0,521.0,"['Action', 'Adventure', 'Sci-Fi']"
207,Dolphin Ouji,8879,TV (New),Unknown,spring,1965.0,,,3.0,0.0,406.0,"['Action', 'Adventure', 'Sci-Fi']"
208,Kaitou Pride,19987,TV (New),Unknown,spring,1965.0,,,105.0,0.0,306.0,"['Adventure', 'Comedy']"
209,Uchuujin Pipi,19985,TV (New),Unknown,spring,1965.0,,,52.0,0.0,280.0,
210,Tetsuwan Atom,2747,TV (Continuing),Mushi Production,spring,1965.0,,Manga,193.0,7.09,11000.0,"['Action', 'Adventure', 'Drama', 'Sci-Fi']"
211,Tetsujin 28-gou,2686,TV (Continuing),Eiken,spring,1965.0,,Manga,96.0,6.37,2900.0,"['Adventure', 'Sci-Fi']"
212,Big X,9613,TV (Continuing),Tokyo Movie Shinsha,spring,1965.0,,Manga,59.0,6.07,979.0,"['Action', 'Sci-Fi']"
213,Shounen Ninja Kaze no Fujimaru,13307,TV (Continuing),Toei Animation,spring,1965.0,,,65.0,5.71,870.0,"['Action', 'Adventure']"
214,Ookami Shounen Ken,17521,TV (Continuing),Toei Animation,spring,1965.0,,,86.0,0.0,557.0,"['Adventure']"
215,Uchuu Patrol Hopper,12897,TV (Continuing),Toei Animation,spring,1965.0,,,44.0,0.0,539.0,"['Sci-Fi']"
216,Mirai Kara Kita Shounen Super Jetter,16159,TV (Continuing),Unknown,spring,1965.0,,Original,52.0,0.0,478.0,"['Action', 'Comedy', 'Sci-Fi']"
217,Wonder 3,4088,TV (New),Mushi Production,summer,1965.0,,,52.0,6.23,889.0,"['Action', 'Adventure', 'Comedy', 'Sci-Fi']"
218,Yuusei Shounen Papii,6448,TV (New),Eiken,summer,1965.0,,,52.0,5.65,767.0,"['Action', 'Sci-Fi']"
