title,MAL_id,type,studio,release-season,release-year,realase-date,source-material,episodes
Ijiwaru Baasan,20079,TV (Continuing),          -,summer,1971.0,1970-09-03 00:00:00,-,39.0
Manga Jinbutsushi,23001,TV (Continuing),          -,summer,1971.0,1970-08-01 00:00:00,-,365.0
Ali Baba to 40-hiki no Touzoku,3843,Movie,Toei Animation,summer,1971.0,1971-07-18 00:00:00,-,1.0
Lupin III,1412,TV (New),Tokyo Movie Shinsha,fall,1971.0,1971-10-24 19:30:00,Manga,23.0
Gegege no Kitarou (1971),6971,TV (New),Toei Animation,fall,1971.0,1971-10-07 00:00:00,Manga,45.0
Genshi Shounen Ryuu,1537,TV (New),Toei Animation,fall,1971.0,1971-10-30 19:00:00,Manga,22.0
Fushigi na Melmo,5476,TV (New),Tezuka Productions,fall,1971.0,1971-10-03 18:30:00,Manga,26.0
Tensai Bakabon,6468,TV (New),          -,fall,1971.0,1971-09-25 00:00:00,-,40.0
Apache Yakyuugun,3844,TV (New),Toei Animation,fall,1971.0,1971-10-06 19:30:00,Manga,26.0
Sekai Monoshiri Ryoko,10241,TV (New),          -,fall,1971.0,1971-10-01 00:00:00,-,1006.0
Shin Obake no Q-tarou,7980,TV (New),          -,fall,1971.0,1971-09-01 19:30:00,-,70.0
Kunimatsu-sama no Otoridai,17669,TV (New),          -,fall,1971.0,1971-10-06 19:00:00,-,46.0
Shin Skyers 5,22997,TV (New),          -,fall,1971.0,1971-10-14 00:00:00,-,25.0
Attack No.1,1550,TV (Continuing),Tokyo Movie Shinsha,fall,1971.0,1969-12-07 19:00:00,Manga,104.0
Sazae-san,2406,TV (Continuing),Eiken,fall,1971.0,1969-10-05 18:30:00,4-koma manga,0.0
Konchuu Monogatari Minashigo Hutch,3858,TV (Continuing),Tatsunoko Production,fall,1971.0,1970-04-07 00:00:00,Original,91.0
Kabatotto,3683,TV (Continuing),Tatsunoko Production,fall,1971.0,1971-01-01 00:00:00,-,300.0
Inakappe Taishou,8786,TV (Continuing),Tatsunoko Production,fall,1971.0,1970-10-04 00:00:00,-,104.0
Muumin (1972),8235,TV (New),Mushi Production,winter,1972.0,1972-01-09 19:30:00,Book,52.0
Kashi no Ki Mokku,2574,TV (New),Tatsunoko Production,winter,1972.0,1972-01-04 00:00:00,-,52.0
Seigi wo Aisuru Mono Gekkou Kamen,4332,TV (New),          -,winter,1972.0,1972-01-10 00:00:00,-,39.0
Lupin III,1412,TV (Continuing),Tokyo Movie Shinsha,winter,1972.0,1971-10-24 19:30:00,Manga,23.0
Sazae-san,2406,TV (Continuing),Eiken,winter,1972.0,1969-10-05 18:30:00,4-koma manga,0.0
Gegege no Kitarou (1971),6971,TV (Continuing),Toei Animation,winter,1972.0,1971-10-07 00:00:00,Manga,45.0
Genshi Shounen Ryuu,1537,TV (Continuing),Toei Animation,winter,1972.0,1971-10-30 19:00:00,Manga,22.0
Fushigi na Melmo,5476,TV (Continuing),Tezuka Productions,winter,1972.0,1971-10-03 18:30:00,Manga,26.0
Tensai Bakabon,6468,TV (Continuing),          -,winter,1972.0,1971-09-25 00:00:00,-,40.0
Apache Yakyuugun,3844,TV (Continuing),Toei Animation,winter,1972.0,1971-10-06 19:30:00,Manga,26.0
Kabatotto,3683,TV (Continuing),Tatsunoko Production,winter,1972.0,1971-01-01 00:00:00,-,300.0
Sekai Monoshiri Ryoko,10241,TV (Continuing),          -,winter,1972.0,1971-10-01 00:00:00,-,1006.0
Inakappe Taishou,8786,TV (Continuing),Tatsunoko Production,winter,1972.0,1970-10-04 00:00:00,-,104.0
Shin Obake no Q-tarou,7980,TV (Continuing),          -,winter,1972.0,1971-09-01 19:30:00,-,70.0
Kunimatsu-sama no Otoridai,17669,TV (Continuing),          -,winter,1972.0,1971-10-06 19:00:00,-,46.0
Shin Skyers 5,22997,TV (Continuing),          -,winter,1972.0,1971-10-14 00:00:00,-,25.0
Umi no Triton,2718,TV (New),Animation Staff Room,spring,1972.0,1972-04-01 00:00:00,Manga,27.0
Akadou Suzunosuke,11275,TV (New),          -,spring,1972.0,1972-04-05 19:00:00,-,52.0
Anime Document: München e no Michi,20237,TV (New),          -,spring,1972.0,1972-04-23 00:00:00,-,16.0
Sazae-san,2406,TV (Continuing),Eiken,spring,1972.0,1969-10-05 18:30:00,4-koma manga,0.0
Muumin (1972),8235,TV (Continuing),Mushi Production,spring,1972.0,1972-01-09 19:30:00,Book,52.0
Gegege no Kitarou (1971),6971,TV (Continuing),Toei Animation,spring,1972.0,1971-10-07 00:00:00,Manga,45.0
Kashi no Ki Mokku,2574,TV (Continuing),Tatsunoko Production,spring,1972.0,1972-01-04 00:00:00,-,52.0
Tensai Bakabon,6468,TV (Continuing),          -,spring,1972.0,1971-09-25 00:00:00,-,40.0
Seigi wo Aisuru Mono Gekkou Kamen,4332,TV (Continuing),          -,spring,1972.0,1972-01-10 00:00:00,-,39.0
Kabatotto,3683,TV (Continuing),Tatsunoko Production,spring,1972.0,1971-01-01 00:00:00,-,300.0
Sekai Monoshiri Ryoko,10241,TV (Continuing),          -,spring,1972.0,1971-10-01 00:00:00,-,1006.0
Inakappe Taishou,8786,TV (Continuing),Tatsunoko Production,spring,1972.0,1970-10-04 00:00:00,-,104.0
Shin Obake no Q-tarou,7980,TV (Continuing),          -,spring,1972.0,1971-09-01 19:30:00,-,70.0
Kunimatsu-sama no Otoridai,17669,TV (Continuing),          -,spring,1972.0,1971-10-06 19:00:00,-,46.0
Devilman,2252,TV (New),Toei Animation,summer,1972.0,1972-07-08 20:30:00,Manga,39.0
Mon Cheri CoCo,22893,TV (New),          -,summer,1972.0,1972-08-27 19:30:00,Manga,13.0
Sazae-san,2406,TV (Continuing),Eiken,summer,1972.0,1969-10-05 18:30:00,4-koma manga,0.0
Muumin (1972),8235,TV (Continuing),Mushi Production,summer,1972.0,1972-01-09 19:30:00,Book,52.0
Gegege no Kitarou (1971),6971,TV (Continuing),Toei Animation,summer,1972.0,1971-10-07 00:00:00,Manga,45.0
