title,MAL_id,type,studio,release-season,release-year,release-date,source-material,genres,themes,demographics,episodes,score,members
Marmalade Boy,334,TV (Continuing),['Toei Animation'],summer,1995.0,,Manga,"['Comedy', 'Drama', 'Romance']",[],,76.0,7.45,52000.0
Romeo no Aoi Sora,2559,TV (Continuing),['Nippon Animation'],summer,1995.0,,Novel,"['Adventure', 'Drama', 'Slice of Life']",[],,33.0,8.32,47000.0
Magic Knight Rayearth II,1563,TV (Continuing),['TMS Entertainment'],summer,1995.0,,Manga,"['Adventure', 'Drama', 'Fantasy', 'Romance']","['Isekai', 'Mahou Shoujo', 'Mecha']",Shoujo,29.0,7.51,31000.0
Macross 7,1397,TV (Continuing),['Production Reed'],summer,1995.0,,Original,"['Action', 'Adventure', 'Comedy', 'Drama', 'Romance', 'Sci-Fi']",[],,49.0,7.15,29000.0
Captain Tsubasa J,1674,TV (Continuing),['Studio Comet'],summer,1995.0,,Manga,['Sports'],['Team Sports'],Shounen,47.0,7.28,28000.0
Street Fighter II V,876,TV (Continuing),['Group TAC'],summer,1995.0,,Game,"['Action', 'Adventure', 'Drama', 'Mystery']",[],,29.0,7.05,26000.0
Ai Tenshi Densetsu Wedding Peach,1533,TV (Continuing),['OLM'],summer,1995.0,,Manga,"['Comedy', 'Fantasy', 'Romance']",['Mahou Shoujo'],Shoujo,51.0,6.74,22000.0
Ike! Ina-chuu Takkyuu-bu,914,TV (Continuing),['Grouper Productions'],summer,1995.0,,Manga,"['Comedy', 'Ecchi']",[],,26.0,7.53,17000.0
Kishin Douji Zenki,1573,TV (Continuing),['Studio Deen'],summer,1995.0,,Manga,"['Action', 'Comedy', 'Drama', 'Fantasy', 'Horror', 'Ecchi']",[],,51.0,6.95,13000.0
Mahoujin Guruguru,331,TV (Continuing),['Nippon Animation'],summer,1995.0,,Manga,"['Adventure', 'Comedy', 'Fantasy']",[],,45.0,7.62,10000.0
Ai to Yuuki no Pig Girl Tonde Buurin,2041,TV (Continuing),['Nippon Animation'],summer,1995.0,,Manga,"['Adventure', 'Comedy', 'Fantasy', 'Romance']","['Parody', 'School']",Shoujo,51.0,6.7,9900.0
Sazae-san,2406,TV (Continuing),['Eiken'],summer,1995.0,,4-koma manga,"['Comedy', 'Slice of Life']",[],,0.0,6.1,7600.0
Nintama Rantarou,1199,TV (Continuing),['Ajia-Do'],summer,1995.0,,Manga,['Comedy'],[],,0.0,7.08,6900.0
Ninkuu,912,TV (Continuing),['Pierrot'],summer,1995.0,,Manga,['Adventure'],[],,55.0,7.03,6400.0
Kiteretsu Daihyakka,6509,TV (Continuing),['Gallop'],summer,1995.0,,Manga,"['Comedy', 'Drama', 'Slice of Life']",[],,331.0,6.79,5300.0
Chibi Maruko-chan (1995),6149,TV (Continuing),['Nippon Animation'],summer,1995.0,,Manga,"['Comedy', 'Slice of Life']",['School'],Shoujo,0.0,7.27,4800.0
Sore Ike! Anpanman,1960,TV (Continuing),['TMS Entertainment'],summer,1995.0,,Picture book,"['Comedy', 'Fantasy']",[],,0.0,6.57,3300.0
Azuki-chan,1893,TV (Continuing),['Madhouse'],summer,1995.0,,Manga,"['Comedy', 'Romance', 'Slice of Life']",[],,117.0,6.7,2900.0
Ougon Yuusha Goldran,5440,TV (Continuing),['Sunrise'],summer,1995.0,,Original,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",[],,48.0,7.03,2600.0
Tobe! Isami,3036,TV (Continuing),['Group TAC'],summer,1995.0,,Original,"['Action', 'Adventure', 'Comedy', 'Romance']",[],,50.0,7.38,2300.0
Juuni Senshi Bakuretsu Eto Ranger,2757,TV (Continuing),['Shaft'],summer,1995.0,,Original,"['Action', 'Comedy', 'Fantasy']",[],,39.0,7.24,2100.0
Juusenshi Gulkeeva,3099,TV (Continuing),['Sunrise'],summer,1995.0,,Original,"['Action', 'Fantasy']",[],,26.0,6.32,2100.0
Gakkou no Kowai Uwasa: Hanako-san ga Kita!!,6472,TV (Continuing),['Group TAC'],summer,1995.0,,,['Horror'],[],,35.0,6.55,1900.0
Kyouryuu Boukenki Jura Tripper,2487,TV (Continuing),['Production Reed'],summer,1995.0,,Other,"['Adventure', 'Drama', 'Fantasy', 'Sci-Fi']",[],,39.0,7.07,1900.0
Bonobono (TV),4286,TV (Continuing),['Group TAC'],summer,1995.0,,4-koma manga,['Comedy'],[],,48.0,6.65,1500.0
Kuusou Kagaku Sekai Gulliver Boy,2980,TV (Continuing),['Toei Animation'],summer,1995.0,,,"['Action', 'Adventure', 'Fantasy']",[],,50.0,6.78,1500.0
Oyako Club,12393,TV (Continuing),['Eiken'],summer,1995.0,,Original,"['Comedy', 'Slice of Life']",[],,1818.0,5.52,1100.0
Pokonyan!,6779,TV (Continuing),['Animation 21'],summer,1995.0,,,"['Comedy', 'Fantasy']",[],,170.0,6.95,985.0
Knyacki!,7505,TV (Continuing),['Unknown'],summer,1995.0,,,"['Comedy', 'Drama', 'Fantasy']",[],,0.0,6.15,937.0
Sekai Meisaku Douwa: Wow! Maerchen Oukoku,7245,TV (Continuing),['Toei Animation'],summer,1995.0,,,['Fantasy'],[],,26.0,6.56,926.0
Shima Shima Tora no Shimajirou,9768,TV (Continuing),['Unknown'],summer,1995.0,,Original,"['Adventure', 'Comedy', 'Fantasy']",[],,726.0,6.02,830.0
Alice Tantei Kyoku,18819,TV (Continuing),['Unknown'],summer,1995.0,,Original,"['Fantasy', 'Mystery']",[],,56.0,0.0,445.0
Narara Superboard,32136,TV (Continuing),['Unknown'],summer,1995.0,,Manga,"['Action', 'Adventure', 'Comedy']",[],,54.0,0.0,419.0
Bit the Cupid,9812,TV (Continuing),['Group TAC'],summer,1995.0,,,['Comedy'],[],,48.0,0.0,386.0
Robot Pulta,29375,TV (Continuing),['Unknown'],summer,1995.0,,,"['Adventure', 'Comedy']",['Mecha'],Kids,0.0,0.0,372.0
Yanbou Ninbou Tonbou,12793,TV (Continuing),['Image Kei'],summer,1995.0,,Radio,['Fantasy'],[],,39.0,0.0,338.0
Kuma no Puutarou,11197,TV (Continuing),['Studio Deen'],summer,1995.0,,,['Comedy'],[],,30.0,0.0,302.0
Asobo Toy-chan,21553,TV (Continuing),['Unknown'],summer,1995.0,,,[],[],,53.0,0.0,290.0
Bubaga,29467,TV (Continuing),['Unknown'],summer,1995.0,,,['Adventure'],[],,8.0,0.0,248.0
Fushigina Ano Ko wa Sutekina Kono Ko,30121,TV (Continuing),['Unknown'],summer,1995.0,,,['Adventure'],[],,154.0,0.0,239.0
Tenchi Muyou! Ryououki 2nd Season,540,OVA,['AIC'],summer,1995.0,,Original,"['Action', 'Comedy', 'Sci-Fi']",[],,6.0,7.63,27000.0
Ranma ½ Super,1011,OVA,['Studio Deen'],summer,1995.0,,Manga,"['Action', 'Adventure', 'Comedy', 'Romance', 'Supernatural']",['Martial Arts'],Shounen,3.0,7.64,18000.0
Keiraku no Houteishiki Level-C,736,OVA,['J.C.Staff'],summer,1995.0,,Manga,"['Boys Love', 'Drama', 'Hentai']",[],,1.0,5.84,15000.0
3x3 Eyes: Seima Densetsu,1225,OVA,['Studio Junio'],summer,1995.0,,Manga,"['Action', 'Adventure', 'Fantasy', 'Horror', 'Romance']",[],,3.0,6.92,14000.0
Mahou Shoujo Pretty Sammy,1918,OVA,['AIC'],summer,1995.0,,Original,"['Comedy', 'Fantasy']",[],,3.0,6.38,7300.0
Ginga Ojousama Densetsu Yuna: Kanashimi no Siren,2473,OVA,['J.C.Staff'],summer,1995.0,,Visual novel,"['Action', 'Adventure', 'Comedy', 'Sci-Fi']",[],,2.0,6.11,4100.0
Ranma ½: DoCo Music Video,10824,OVA,['Kitty Film Mitaka Studio'],summer,1995.0,,,"['Comedy', 'Slice of Life']",[],,1.0,6.77,3800.0
Elf no Wakaokusama,1332,OVA,['AIC'],summer,1995.0,,,"['Fantasy', 'Hentai']",[],,2.0,5.88,3300.0
Injuu Seisen: Twin Angels,3569,OVA,['Arms'],summer,1995.0,,Original,"['Horror', 'Hentai']",[],,4.0,5.6,2600.0
Rakushou! Hyper Doll,2522,OVA,['Unknown'],summer,1995.0,,Manga,"['Adventure', 'Comedy', 'Sci-Fi']",[],,2.0,5.85,2600.0
Idol Project,2072,OVA,['Studio OX'],summer,1995.0,,Visual novel,"['Adventure', 'Comedy']",[],,4.0,5.76,2200.0
Bishoujo Yuugekitai Battle Skipper,1528,OVA,['Artmic'],summer,1995.0,,Original,"['Comedy', 'Sci-Fi']",[],,3.0,5.24,2000.0
Visionary,4700,OVA,['Knack Productions'],summer,1995.0,,Manga,['Hentai'],[],,5.0,5.12,1900.0
Injuu Onna Kyoushi,5649,OVA,['Momoi Planning'],summer,1995.0,,,['Hentai'],[],,3.0,5.43,1600.0
Mechano: Scientific Attack Force,24259,OVA,['Unknown'],summer,1995.0,,,"['Avant Garde', 'Comedy', 'Fantasy', 'Horror']",[],,3.0,4.93,524.0
Konchuu Tsurezuregusa,16263,OVA,['Unknown'],summer,1995.0,,,['Slice of Life'],[],,1.0,0.0,437.0
Yamiyo no Jidaigeki (OVA),23767,OVA,['Sunrise'],summer,1995.0,,,['Horror'],[],,2.0,0.0,348.0
Mimi wo Sumaseba,585,Movie,['Studio Ghibli'],summer,1995.0,,Manga,"['Drama', 'Romance']",[],,1.0,8.22,322000.0
Dragon Ball Z Movie 13: Ryuuken Bakuhatsu!! Gokuu ga Yaraneba Dare ga Yaru,906,Movie,['Toei Animation'],summer,1995.0,,Manga,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Sci-Fi']",[],,1.0,7.34,123000.0
Slayers: The Motion Picture,536,Movie,['J.C.Staff'],summer,1995.0,,Light novel,"['Adventure', 'Comedy', 'Fantasy']",[],,1.0,7.28,23000.0
Slam Dunk: Hoero Basketman-damashii! Hanamichi to Rukawa no Atsuki Natsu,2499,Movie,['Toei Animation'],summer,1995.0,,Manga,['Sports'],"['School', 'Team Sports']",Shounen,1.0,7.65,16000.0
Macross 7 Movie: Ginga ga Ore wo Yondeiru!,1400,Movie,['Production Reed'],summer,1995.0,,Original,"['Action', 'Adventure', 'Comedy', 'Drama', 'Sci-Fi']",[],,1.0,6.91,9000.0
Anne no Nikki,3829,Movie,['Madhouse'],summer,1995.0,,Book,['Drama'],[],,1.0,6.75,7600.0
Hajimari no Boukensha-tachi: Legend of Crystania,515,Movie,['Triangle Staff'],summer,1995.0,,,"['Action', 'Adventure', 'Fantasy', 'Supernatural']",[],,1.0,6.03,5200.0
Ninkuu (Movie),2851,Movie,['Pierrot'],summer,1995.0,,Manga,"['Action', 'Adventure', 'Comedy']","['Historical', 'Martial Arts']",Shounen,1.0,6.11,1700.0
Bulg-eunmae,1776,Movie,['Unknown'],summer,1995.0,,,[],[],,1.0,5.47,1200.0
Sore Ike! Anpanman: Yuurei Sen wo Yattsukero!!,10058,Movie,['TMS Entertainment'],summer,1995.0,,,"['Comedy', 'Fantasy']",[],,1.0,6.27,438.0
Kazu & Yasu Hero Tanjou,20143,Movie,['Unknown'],summer,1995.0,,,"['Drama', 'Sports']",[],,1.0,0.0,389.0
Sore Ike! Anpanman: Anpanman to Happy Otanjoubi,21933,Movie,['Unknown'],summer,1995.0,,,"['Comedy', 'Fantasy']",[],,1.0,0.0,337.0
Katta-kun Monogatari,21101,Movie,['Unknown'],summer,1995.0,,,['Adventure'],[],,1.0,0.0,260.0
Top wo Nerae! Kagaku Kouza,5462,Special,['Gainax'],summer,1995.0,,Original,"['Comedy', 'Sci-Fi']",[],,6.0,6.1,7900.0
Lupin III: Harimao no Zaihou wo Oe!!,1434,Special,['Unknown'],summer,1995.0,,Manga,"['Action', 'Adventure', 'Comedy', 'Mystery']",['Adult Cast'],Seinen,1.0,6.92,6800.0
Tenchi Muyou! Ryououki 2nd Season Picture Drama,10351,Special,['AIC'],summer,1995.0,,Original,"['Comedy', 'Sci-Fi']",[],,1.0,6.79,5800.0
Shounen Sunday CM: Detective Conan,40348,Special,['Unknown'],summer,1995.0,,Manga,['Mystery'],[],,1.0,5.51,1300.0
Private Eye Dol,25983,Special,['Unknown'],summer,1995.0,,,"['Comedy', 'Mystery']",[],,3.0,0.0,393.0
Crayon Shin-chan Specials,41880,Special,['Shin-Ei Animation'],summer,1995.0,,Manga,"['Comedy', 'Ecchi']",['School'],Seinen,0.0,0.0,331.0
Kyouryou Pikora,29493,Special,['Unknown'],summer,1995.0,,,['Adventure'],[],,1.0,0.0,221.0
Shounen Sunday CM: Major,52616,Special,['Unknown'],summer,1995.0,,Manga,['Sports'],[],,1.0,0.0,170.0
Neon Genesis Evangelion,30,TV (New),"['Gainax', 'Tatsunoko Production']",fall,1995.0,,Original,"['Action', 'Avant Garde', 'Award Winning', 'Drama', 'Sci-Fi', 'Suspense']",[],,26.0,8.34,1700000.0
Gokinjo Monogatari,852,TV (New),['Toei Animation'],fall,1995.0,,Manga,"['Comedy', 'Drama', 'Romance']",['Visual Arts'],Shoujo,50.0,7.61,22000.0
Bakuretsu Hunters,495,TV (New),['Xebec'],fall,1995.0,,Manga,"['Adventure', 'Comedy', 'Fantasy', 'Supernatural', 'Ecchi']",[],,26.0,6.67,20000.0
Kaitou Saint Tail,1567,TV (New),['TMS Entertainment'],fall,1995.0,,Manga,"['Adventure', 'Romance']",[],,43.0,7.55,19000.0
El Hazard: The Wanderers,116,TV (New),['AIC'],fall,1995.0,,Original,"['Adventure', 'Comedy', 'Fantasy', 'Romance']",[],,26.0,6.94,17000.0
Virtua Fighter,961,TV (New),['Tokyo Movie Shinsha'],fall,1995.0,,Game,"['Action', 'Adventure', 'Comedy']",[],,35.0,7.12,10000.0
Mojakou,2736,TV (New),['OLM'],fall,1995.0,,,"['Comedy', 'Fantasy', 'Sci-Fi']",[],,74.0,7.16,2500.0
Touma Kishinden Oni,2366,TV (New),['J.C.Staff'],fall,1995.0,,Game,['Supernatural'],[],,25.0,6.39,1000.0
Mama wa Poyopoyo Saurus ga Osuki,4782,TV (New),['Nippon Animation'],fall,1995.0,,Manga,"['Comedy', 'Slice of Life']",['Childcare'],Kids,52.0,6.6,798.0
Noobow,18573,TV (New),['Unknown'],fall,1995.0,,,['Slice of Life'],[],,26.0,0.0,342.0
Dokkan! Robotendon,21485,TV (New),['Tatsunoko Production'],fall,1995.0,,,"['Adventure', 'Slice of Life']",[],,26.0,0.0,292.0
Dragon Ball Z,813,TV (Continuing),['Toei Animation'],fall,1995.0,,Manga,"['Action', 'Adventure', 'Comedy', 'Fantasy']","['Martial Arts', 'Super Power']",Shounen,291.0,8.16,1100000.0
Slam Dunk,170,TV (Continuing),['Toei Animation'],fall,1995.0,,Manga,['Sports'],"['School', 'Team Sports']",Shounen,101.0,8.54,272000.0
Shin Kidou Senki Gundam Wing,90,TV (Continuing),['Sunrise'],fall,1995.0,,Original,"['Action', 'Drama', 'Sci-Fi']",[],,49.0,7.69,153000.0
Fushigi Yuugi,123,TV (Continuing),['Pierrot'],fall,1995.0,,Manga,"['Adventure', 'Fantasy', 'Romance']","['Historical', 'Isekai', 'Martial Arts', 'Reverse Harem']",Shoujo,52.0,7.62,113000.0
Bishoujo Senshi Sailor Moon SuperS,1239,TV (Continuing),['Toei Animation'],fall,1995.0,,Manga,"['Fantasy', 'Romance']",['Mahou Shoujo'],Shoujo,39.0,7.62,112000.0
Crayon Shin-chan,966,TV (Continuing),['Shin-Ei Animation'],fall,1995.0,,Manga,"['Comedy', 'Ecchi']",['School'],Seinen,0.0,7.76,76000.0
Doraemon (1979),2471,TV (Continuing),['Shin-Ei Animation'],fall,1995.0,,Manga,"['Adventure', 'Comedy', 'Fantasy', 'Sci-Fi']",['Anthropomorphic'],Kids,1787.0,7.78,57000.0
Romeo no Aoi Sora,2559,TV (Continuing),['Nippon Animation'],fall,1995.0,,Novel,"['Adventure', 'Drama', 'Slice of Life']",[],,33.0,8.32,47000.0
Magic Knight Rayearth II,1563,TV (Continuing),['TMS Entertainment'],fall,1995.0,,Manga,"['Adventure', 'Drama', 'Fantasy', 'Romance']","['Isekai', 'Mahou Shoujo', 'Mecha']",Shoujo,29.0,7.51,31000.0
Captain Tsubasa J,1674,TV (Continuing),['Studio Comet'],fall,1995.0,,Manga,['Sports'],['Team Sports'],Shounen,47.0,7.28,28000.0
Street Fighter II V,876,TV (Continuing),['Group TAC'],fall,1995.0,,Game,"['Action', 'Adventure', 'Drama', 'Mystery']",[],,29.0,7.05,26000.0
Ai Tenshi Densetsu Wedding Peach,1533,TV (Continuing),['OLM'],fall,1995.0,,Manga,"['Comedy', 'Fantasy', 'Romance']",['Mahou Shoujo'],Shoujo,51.0,6.74,22000.0
Kishin Douji Zenki,1573,TV (Continuing),['Studio Deen'],fall,1995.0,,Manga,"['Action', 'Comedy', 'Drama', 'Fantasy', 'Horror', 'Ecchi']",[],,51.0,6.95,13000.0
H2,386,TV (Continuing),['Production Reed'],fall,1995.0,,Manga,"['Comedy', 'Romance', 'Sports']",['Team Sports'],Shounen,41.0,7.24,9300.0
Sazae-san,2406,TV (Continuing),['Eiken'],fall,1995.0,,4-koma manga,"['Comedy', 'Slice of Life']",[],,0.0,6.1,7600.0
Nintama Rantarou,1199,TV (Continuing),['Ajia-Do'],fall,1995.0,,Manga,['Comedy'],[],,0.0,7.08,6900.0
Ninkuu,912,TV (Continuing),['Pierrot'],fall,1995.0,,Manga,['Adventure'],[],,55.0,7.03,6400.0
Kiteretsu Daihyakka,6509,TV (Continuing),['Gallop'],fall,1995.0,,Manga,"['Comedy', 'Drama', 'Slice of Life']",[],,331.0,6.79,5300.0
Chibi Maruko-chan (1995),6149,TV (Continuing),['Nippon Animation'],fall,1995.0,,Manga,"['Comedy', 'Slice of Life']",['School'],Shoujo,0.0,7.27,4800.0
Nurse Angel Ririka SOS,616,TV (Continuing),['Gallop'],fall,1995.0,,Manga,"['Drama', 'Fantasy']",[],,35.0,7.15,4200.0
Sore Ike! Anpanman,1960,TV (Continuing),['TMS Entertainment'],fall,1995.0,,Picture book,"['Comedy', 'Fantasy']",[],,0.0,6.57,3300.0
Azuki-chan,1893,TV (Continuing),['Madhouse'],fall,1995.0,,Manga,"['Comedy', 'Romance', 'Slice of Life']",[],,117.0,6.7,2900.0
Ougon Yuusha Goldran,5440,TV (Continuing),['Sunrise'],fall,1995.0,,Original,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",[],,48.0,7.03,2600.0
Tobe! Isami,3036,TV (Continuing),['Group TAC'],fall,1995.0,,Original,"['Action', 'Adventure', 'Comedy', 'Romance']",[],,50.0,7.38,2300.0
Juuni Senshi Bakuretsu Eto Ranger,2757,TV (Continuing),['Shaft'],fall,1995.0,,Original,"['Action', 'Comedy', 'Fantasy']",[],,39.0,7.24,2100.0
Gakkou no Kowai Uwasa: Hanako-san ga Kita!!,6472,TV (Continuing),['Group TAC'],fall,1995.0,,,['Horror'],[],,35.0,6.55,1900.0
Kyouryuu Boukenki Jura Tripper,2487,TV (Continuing),['Production Reed'],fall,1995.0,,Other,"['Adventure', 'Drama', 'Fantasy', 'Sci-Fi']",[],,39.0,7.07,1900.0
Bonobono (TV),4286,TV (Continuing),['Group TAC'],fall,1995.0,,4-koma manga,['Comedy'],[],,48.0,6.65,1500.0
Kuusou Kagaku Sekai Gulliver Boy,2980,TV (Continuing),['Toei Animation'],fall,1995.0,,,"['Action', 'Adventure', 'Fantasy']",[],,50.0,6.78,1500.0
Oyako Club,12393,TV (Continuing),['Eiken'],fall,1995.0,,Original,"['Comedy', 'Slice of Life']",[],,1818.0,5.52,1100.0
Pokonyan!,6779,TV (Continuing),['Animation 21'],fall,1995.0,,,"['Comedy', 'Fantasy']",[],,170.0,6.95,985.0
Knyacki!,7505,TV (Continuing),['Unknown'],fall,1995.0,,,"['Comedy', 'Drama', 'Fantasy']",[],,0.0,6.15,937.0
Shima Shima Tora no Shimajirou,9768,TV (Continuing),['Unknown'],fall,1995.0,,Original,"['Adventure', 'Comedy', 'Fantasy']",[],,726.0,6.02,830.0
Alice Tantei Kyoku,18819,TV (Continuing),['Unknown'],fall,1995.0,,Original,"['Fantasy', 'Mystery']",[],,56.0,0.0,445.0
Narara Superboard,32136,TV (Continuing),['Unknown'],fall,1995.0,,Manga,"['Action', 'Adventure', 'Comedy']",[],,54.0,0.0,419.0
Bit the Cupid,9812,TV (Continuing),['Group TAC'],fall,1995.0,,,['Comedy'],[],,48.0,0.0,386.0
Robot Pulta,29375,TV (Continuing),['Unknown'],fall,1995.0,,,"['Adventure', 'Comedy']",['Mecha'],Kids,0.0,0.0,372.0
Yanbou Ninbou Tonbou,12793,TV (Continuing),['Image Kei'],fall,1995.0,,Radio,['Fantasy'],[],,39.0,0.0,338.0
Kuma no Puutarou,11197,TV (Continuing),['Studio Deen'],fall,1995.0,,,['Comedy'],[],,30.0,0.0,302.0
Asobo Toy-chan,21553,TV (Continuing),['Unknown'],fall,1995.0,,,[],[],,53.0,0.0,290.0
Bubaga,29467,TV (Continuing),['Unknown'],fall,1995.0,,,['Adventure'],[],,8.0,0.0,248.0
Fushigina Ano Ko wa Sutekina Kono Ko,30121,TV (Continuing),['Unknown'],fall,1995.0,,,['Adventure'],[],,154.0,0.0,239.0
Golden Boy,268,OVA,['APPP'],fall,1995.0,,Manga,"['Adventure', 'Comedy', 'Ecchi']",[],,6.0,8.03,350000.0
Gunsmith Cats,650,OVA,['OLM'],fall,1995.0,,Manga,"['Action', 'Comedy']",['Detective'],Seinen,3.0,7.33,48000.0
Armitage III,1079,OVA,['AIC'],fall,1995.0,,Original,"['Action', 'Adventure', 'Romance', 'Sci-Fi']",[],,4.0,7.0,32000.0
Taiho Shichau zo,1577,OVA,['Studio Deen'],fall,1995.0,,Manga,"['Action', 'Comedy']","['Detective', 'Workplace']",Seinen,4.0,7.46,24000.0
Ranma ½ Super,1011,OVA,['Studio Deen'],fall,1995.0,,Manga,"['Action', 'Adventure', 'Comedy', 'Romance', 'Supernatural']",['Martial Arts'],Shounen,3.0,7.64,18000.0
3x3 Eyes: Seima Densetsu,1225,OVA,['Studio Junio'],fall,1995.0,,Manga,"['Action', 'Adventure', 'Fantasy', 'Horror', 'Romance']",[],,3.0,6.92,14000.0
Bio Hunter,1269,OVA,['Madhouse'],fall,1995.0,,Manga,"['Action', 'Horror']",[],,1.0,5.91,13000.0
Yuu☆Yuu☆Hakusho: Eizou Hakusho II,2126,OVA,['Pierrot'],fall,1995.0,,Manga,"['Action', 'Adventure', 'Comedy', 'Supernatural']",[],,4.0,7.29,13000.0
Macross 7 Encore,1399,OVA,['Production Reed'],fall,1995.0,,Original,"['Action', 'Comedy', 'Drama', 'Sci-Fi']",[],,3.0,6.94,8900.0
Kodomo no Omocha,3421,OVA,['J.C.Staff'],fall,1995.0,,Manga,"['Comedy', 'Drama']","['Love Polygon', 'School', 'Showbiz']",Shoujo,1.0,7.13,6100.0
Shadow Skill,3005,OVA,['Zero-G Room'],fall,1995.0,,Manga,"['Adventure', 'Drama', 'Fantasy']","['Martial Arts', 'Super Power']",Shounen,1.0,6.53,5700.0
Stainless Night,1407,OVA,['OLM'],fall,1995.0,,Manga,"['Girls Love', 'Hentai']",[],,2.0,6.07,5200.0
Captain Tsubasa: Saikyou no Teki! Holland Youth,2122,OVA,['animate Film'],fall,1995.0,,,['Sports'],['Team Sports'],Shounen,1.0,6.82,4700.0
Yousei Hime Ren,1630,OVA,['Dangun Pictures'],fall,1995.0,,Original,"['Adventure', 'Comedy', 'Fantasy']",[],,2.0,6.04,4100.0
Dirty Pair Flash 3,12347,OVA,['Sunrise'],fall,1995.0,,Light novel,"['Action', 'Adventure', 'Comedy', 'Sci-Fi', 'Ecchi']",[],,5.0,6.5,3700.0
Akazukin Chacha OVA,367,OVA,['Gallop'],fall,1995.0,,Manga,"['Comedy', 'Fantasy']",[],,3.0,7.04,2600.0
Idol Bouei-tai Hummingbird,2465,OVA,['Ashi Productions'],fall,1995.0,,Light novel,['Comedy'],[],,4.0,5.83,2500.0
Chinmoku no Kantai,2881,OVA,['Sunrise'],fall,1995.0,,Manga,"['Action', 'Drama']",['Military'],Seinen,3.0,6.27,2300.0
Dragon Rider,3551,OVA,['Triple X'],fall,1995.0,,,['Hentai'],[],,2.0,5.55,2100.0
Shin Kaitei Gunkan,1938,OVA,['Phoenix Entertainment'],fall,1995.0,,Novel,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",[],,2.0,6.06,2000.0
Doukyuusei (OVA): Climax,4841,OVA,['Triple X'],fall,1995.0,,Visual novel,['Hentai'],[],,2.0,5.34,1700.0
Youjuu Kyoushitsu Gaiden,2339,OVA,['Unknown'],fall,1995.0,,Manga,"['Horror', 'Hentai']",[],,4.0,5.07,1600.0
Mirai Choujuu Fobia,4556,OVA,['Unknown'],fall,1995.0,,,"['Horror', 'Hentai']",[],,2.0,4.69,1300.0
Gakkou no Yuurei,20353,OVA,"['Aubec', 'Toei Animation']",fall,1995.0,,,['Horror'],[],,6.0,5.96,1300.0
Compiler Festa,5237,OVA,['Unknown'],fall,1995.0,,,"['Action', 'Drama', 'Sci-Fi']",[],,1.0,5.23,1100.0
Haou Daikei Ryuu Knight: Adeu Legend II,1850,OVA,['Sunrise'],fall,1995.0,,,"['Action', 'Adventure', 'Fantasy']",[],,3.0,5.97,903.0
Yamato Takeru: After War,9376,OVA,['Nippon Animation'],fall,1995.0,,,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",[],,2.0,6.29,760.0
Bad Badtz-Maru no Otoko Dokyou no Omoiyari,30125,OVA,['Unknown'],fall,1995.0,,,['Comedy'],[],,1.0,0.0,327.0
Bad Badtz-Maru no Ore wa Yuutousei,30124,OVA,['Unknown'],fall,1995.0,,,['Comedy'],[],,1.0,0.0,292.0
Doolie Baenang-Yeohaeng,26199,OVA,['Unknown'],fall,1995.0,,,['Adventure'],[],,7.0,0.0,233.0
Ushiro no Seki no Ochiai-kun,27851,OVA,['Toei Animation'],fall,1995.0,,,[],['School'],Kids,1.0,0.0,214.0
Nintama Rantarou no Koutsuu Anzen,39372,OVA,['Unknown'],fall,1995.0,,Manga,[],"['Educational', 'Martial Arts']",Kids,1.0,0.0,200.0
Koukaku Kidoutai,43,Movie,['Production I.G'],fall,1995.0,,Manga,"['Action', 'Mystery', 'Sci-Fi', 'Suspense']","['Adult Cast', 'Detective', 'Mecha', 'Psychological']",Seinen,1.0,8.27,584000.0
Memories,1462,Movie,"['Madhouse', 'Studio 4°C']",fall,1995.0,,Manga,"['Award Winning', 'Drama', 'Horror', 'Sci-Fi']",[],,3.0,7.71,115000.0
Bishoujo Senshi Sailor Moon SuperS: Sailor 9 Senshi Shuuketsu! Black Dream Hole no Kiseki,1240,Movie,['Toei Animation'],fall,1995.0,,Manga,['Drama'],['Mahou Shoujo'],Shoujo,1.0,7.55,39000.0
Macross Plus Movie Edition,1211,Movie,['Triangle Staff'],fall,1995.0,,Original,"['Action', 'Adventure', 'Romance', 'Sci-Fi']",[],,1.0,7.71,16000.0
Gotou ni Naritai.,8120,Movie,['Unknown'],fall,1995.0,,Novel,"['Drama', 'Slice of Life']",[],,1.0,7.07,2700.0
Azuki-chan the Movie,6095,Movie,['Madhouse'],fall,1995.0,,Manga,"['Comedy', 'Romance', 'Slice of Life']",[],,1.0,6.16,1000.0
Heong-geuli Beseuteu 5,16552,Movie,['Unknown'],fall,1995.0,,,['Sports'],[],,1.0,0.0,302.0
Doraon Yeongung Hong Gildong,43702,Movie,['Unknown'],fall,1995.0,,,"['Action', 'Adventure']",[],,1.0,0.0,124.0
Bishoujo Senshi Sailor Moon SuperS Gaiden: Ami-chan no Hatsukoi,1278,Special,['Toei Animation'],fall,1995.0,,Manga,"['Comedy', 'Romance']",['Mahou Shoujo'],Shoujo,1.0,7.31,25000.0
