title,MAL_id,type,studio,release-season,release-year,release-date,source-material,genres,themes,demographics,episodes,score,members
Gang to Odoriko,49257,Movie,['Unknown'],winter,1934.0,,,[],[],,1.0,0.0,30.0
Omocha Bako Series Dai 3 Wa: Ehon 1936-nen,6823,Movie,['Unknown'],spring,1934.0,,Other,['Fantasy'],[],,1.0,4.64,1300.0
Tengu Taiji,6837,Movie,['Unknown'],spring,1934.0,,Original,['Comedy'],[],,1.0,5.03,1200.0
Genroku Koi Moyou: Sankichi to Osayo,23265,Movie,['Unknown'],spring,1934.0,,Original,"['Adventure', 'Romance']",[],,1.0,4.83,817.0
Ponsuke no Haru,23089,Movie,['Unknown'],summer,1934.0,,Original,['Comedy'],[],,1.0,5.16,678.0
Kachikachi Yama: Umi Yama-hen,33133,Movie,['Unknown'],summer,1934.0,,Other,['Fantasy'],[],,1.0,0.0,337.0
Tsuki no Miya no Oujo-sama,15139,Movie,['Unknown'],fall,1934.0,,Original,[],[],,1.0,5.31,499.0
Mori no Yakyuudan,49258,Movie,['Unknown'],fall,1934.0,,,['Sports'],[],,1.0,0.0,30.0
Taa-chan no Kaitei Ryokou,6834,Movie,['Unknown'],winter,1935.0,,Original,['Adventure'],[],,1.0,4.43,1200.0
Chagama Ondo,17076,Movie,['Unknown'],winter,1935.0,,Original,"['Comedy', 'Supernatural']",[],,1.0,4.92,1100.0
Issunboushi: Chibisuke Monogatari,6836,Movie,['Unknown'],spring,1935.0,,Original,['Action'],[],,1.0,5.01,1100.0
Umi no Mizu wa Naze Karai,6835,Movie,['Unknown'],summer,1935.0,,Original,[],[],,1.0,5.65,1300.0
Ari to Kaeru,36701,Movie,['Unknown'],summer,1935.0,,Original,[],[],,1.0,0.0,288.0
Ninjutsu Hinotama Kozou: Edo no Maki,6833,Movie,['Unknown'],fall,1935.0,,Original,['Action'],[],,1.0,4.0,1300.0
Yowamushi Chinsengumi,24981,Movie,['Unknown'],fall,1935.0,,Original,['Comedy'],[],,1.0,0.0,371.0
Izakaya no Ichiya,6829,Movie,['Unknown'],spring,1936.0,,Original,['Action'],[],,1.0,5.17,1000.0
Shinsetsu Kachikachi Yama,31912,Movie,['Unknown'],fall,1936.0,,Original,"['Action', 'Fantasy']",[],,1.0,5.0,738.0
Maabou no Shounen Koukuu Tsuwamono,7500,Movie,['Unknown'],fall,1937.0,,Original,[],[],,1.0,0.0,393.0
Sora no Arawashi,31948,Movie,['Unknown'],spring,1938.0,,Original,"['Action', 'Drama']",[],,1.0,0.0,346.0
Maabou no Kinoshita Toukichirou,6841,Movie,['Unknown'],fall,1938.0,,Original,[],[],,1.0,5.02,1200.0
Benkei tai Ushiwaka,12561,Movie,['Unknown'],summer,1939.0,,Other,"['Action', 'Comedy']",[],,1.0,5.25,1300.0
Kachikachi Yama (1940),33135,Movie,['Unknown'],winter,1940.0,,Other,['Fantasy'],[],,1.0,0.0,337.0
Ochou Fujin no Gensou,28143,Movie,['Unknown'],spring,1940.0,,Other,['Drama'],[],,1.0,5.57,908.0
